Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	Lange definitie: vlees van een aal, gebruikt als voedsel	vlees van een aal, gebruikt als voedsel	0.6496858596801758	0.5844305157661438	0.6153330206871033	0.32009410858154297	0.5686772465705872	0.31934839487075806
aal	substantief	B.1.0	550	554	katholieke geestelijke die verbonden is aan een legerafdeling en die belast is met pastoraal werk en begeleiding en ondersteuning van militairen	aalmoezenier	Een aalmoezenier is iemand die aalmoezen geeft aan anderen.	Een aalmoezenier is iemand die aalmoezen geeft aan anderen.	0.6130531430244446	0.5985671281814575	0.60572350025177	0.40558919310569763	0.8162955641746521	0.4718204736709595
aal	substantief	C.1.0	550	485623	vloeibare mest	mestvocht	Lange definitie:'mestvocht' is het vocht uit de mest van een dier.	Lange definitie:'mestvocht' is het vocht uit de mest van een dier.	0.637967586517334	0.6317193508148193	0.6348280906677246	0.5701999068260193	0.648781418800354	0.7246212959289551
aal	substantief	A.1.1	550	555	door de mens als voedsel geconsumeerde aal	aal als voedsel	Lange definitie: aal als voedsel, als ingrediënt voor een gerecht	aal als voedsel, als ingrediënt voor een gerecht	0.7394418716430664	0.738082766532898	0.7387616634368896	0.5673984885215759	0.40584179759025574	0.9566758871078491
aalglad	adjectief	1.0	558	229438	kaal met zeer weinig weerstand, waardoor je kunt uitglijden	zonder enige hobbel of rimpel erg glibberig	'Aalglad' betekent 'zonder enige hobbel of rimpel erg glibberig'.	'Aalglad' betekent 'zonder enige hobbel of rimpel erg glibberig'.	0.6189260482788086	0.6537474393844604	0.6358603835105896	0.5446001887321472	0.5828731656074524	0.6006648540496826
aalglad	adjectief	2.0	558	559	niet te verslaan	supersnel	'Aalglad' betekent 'heel snel'.	'Aalglad' betekent 'heel snel'.	0.5540574789047241	0.5882511734962463	0.5706425309181213	0.3713460862636566	0.4824519753456116	0.7309216260910034
aalglad	adjectief	3.0	558	229439	communicatief zeer sterk	niet te vangen	Het woord 'aalglad' betekent 'niet te vangen'.	Het woord 'aalglad' betekent 'niet te vangen'.	0.5944408178329468	0.6197288036346436	0.6068214774131775	0.3786493241786957	0.40427473187446594	0.515631914138794
aalglad	adjectief	4.0	558	229448	goed in elkaar zittend	(te) gelikt	Het woord 'aalglad' betekent 'heel erg gelikt'. De volledige definitie is: '(te) gelikt'.	Het woord 'aalglad' betekent 'heel erg gelikt'. De volledige definitie is: '(te) gelikt'.	0.5829662680625916	0.6380434632301331	0.6092626452445984	0.3694392144680023	0.45783519744873047	0.32817596197128296
aalglad	adjectief	1.1	558	232192	met zeer weinig weerstand, waardoor je kunt uitglijden	erg glibberig	'Aalglad' betekent 'erg glibberig'.	'Aalglad' betekent 'erg glibberig'.	0.5816465616226196	0.62833571434021	0.6040903329849243	0.4135412573814392	0.38801828026771545	0.8605139851570129
Aalstenaar	substantief	1.0	576	577	inwoner van de stad Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand uit Aalst lid e.d. van een club uit Aalst	Lange definitie: iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	0.9576546549797058	0.8993558287620544	0.9275901317596436	0.8765257000923157	0.7510707974433899	0.9799659252166748
Aalstenaar	substantief	1.1	576	530830	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	lid e.d. van een club uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	1.0	1.0	1.0	0.9692015647888184	0.7932307720184326	0.9963841438293457
aanbiddingszanger	substantief	1.0	493255	493257	zanger die religieuze, meestal christelijke, liederen zingt	zanger van religieuze liederen	Lange definitie: 'zanger van religieuze liederen'	'zanger van religieuze liederen'	0.8078117966651917	0.7555904984474182	0.7808290123939514	0.8677541613578796	0.8257483839988708	0.9830799698829651
aanblijfpremie	substantief	1.0	232086	232087	premie die uitgeloofd wordt als iemand aanblijft in een bepaalde functie, meestal een belangrijke functie	premie voor een functionaris die aanblijft	Een aanblijfpremie is een financiële vergoeding die wordt toegekend aan een functionaris die aanblijft in zijn of haar functie.	Een aanblijfpremie is een financiële vergoeding die wordt toegekend aan een functionaris die aanblijft in zijn of haar functie.	0.7123621702194214	0.7396880984306335	0.7257680296897888	0.8704403638839722	0.8591783046722412	0.9860870838165283
aandachtsboog	substantief	1.0	232103	232107	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	Lange definitie: mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	1.0	1.0	1.0	0.9644933342933655	0.6795052289962769	0.9901823997497559
aandachtseconomie	substantief	1.0	945237	949219	economie of samenleving waarin het trekken en behouden van aandacht van consumenten of mensen in het algemeen centraal staat	economie gericht op aandacht	Een aandachtseconomie is een economie die gericht is op het krijgen van aandacht van de consument. De aandachtseconomie wordt gekenmerkt door het gebruik van technologie en sociale media om de aandacht van de consument te krijgen. De aandachtseconomie wordt gekenmerkt door het gebruik van technologie en sociale media om de aandacht van de consument te krijgen.	Een aandachtseconomie is een economie die gericht is op het krijgen van aandacht van de consument. De aandachtseconomie wordt gekenmerkt door het gebruik van technologie en sociale media om de aandacht van de consument te krijgen. De aandachtseconomie wordt gekenmerkt door het gebruik van technologie en sociale media om de aandacht van de consument te krijgen.	0.6634330749511719	0.7115863561630249	0.6866665482521057	0.6470520496368408	0.8323858380317688	0.9146235585212708
aandachtsspanne	substantief	1.0	826702	877155	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	Lange definitie: mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	1.0	1.0	1.0	0.9644935131072998	0.6795045733451843	0.9901823997497559
aandeelhouderswaarde	substantief	1.0	769	770	waarde die een onderneming of een bedrijf vertegenwoordigt in de ogen van mogelijke investeerders en die vooral wordt beïnvloed door de omvang en de winstgevendheid van die onderneming of dat bedrijf	waarde van een onderneming	Lange definitie: 'waarde van een onderneming' is de waarde van de aandelen van de aandeelhouders van een onderneming.	'waarde van een onderneming' is de waarde van de aandelen van de aandeelhouders van een onderneming.	0.76177978515625	0.6901049613952637	0.7241731882095337	0.6016289591789246	0.6575379967689514	0.40491819381713867
aandelenleaseproduct	substantief	1.0	235704	235706	financieel product waarbij er belegd wordt met aandelen die gekocht zijn met geleend geld	beleggingsproduct gekocht met geleend geld	Een aandelenleaseproduct is een beleggingsproduct waarbij aandelen gekocht worden met geleend geld, waarvoor door diegene die leent periodiek rente betaald wordt.	Een aandelenleaseproduct is een beleggingsproduct waarbij aandelen gekocht worden met geleend geld, waarvoor door diegene die leent periodiek rente betaald wordt.	0.7322313785552979	0.8042992353439331	0.7665751576423645	0.8345881700515747	0.7598443031311035	0.8639833927154541
aankomstdatum	substantief	1.0	1058	1059	datum waarop iemand (of een groep van personen) of iets geacht wordt of werd aan te komen	datum waarop iemand of iets aankomt	Lange definitie: datum waarop iemand of iets geacht wordt of werd aan te komen	datum waarop iemand of iets geacht wordt of werd aan te komen	0.9666687846183777	0.885179340839386	0.9241310954093933	0.8894078731536865	0.49793756008148193	0.9556368589401245
aankoopfraude	substantief	1.0	529059	529060	vorm van fraude die gepleegd wordt bij de aankoop van goederen of diensten, waarbij deze meestal niet geleverd worden, terwijl de klant er wel voor betaald heeft	fraude bij aankopen	Lange definitie: fraude die bestaat uit niet, onvolledig of onjuist verstrekken van gegevens bij aankopen, in het bijzonder door genoten inkomsten voor de overheid te verzwijgen	fraude die bestaat uit niet, onvolledig of onjuist verstrekken van gegevens bij aankopen, in het bijzonder door genoten inkomsten voor de overheid te verzwijgen	0.6957439184188843	0.7408542633056641	0.717590868473053	0.6144834160804749	0.6593286991119385	0.3623557686805725
aanmaningsbrief	substantief	1.0	519713	519714	brief waarin de ontvanger aangemaand wordt iets te doen, bijvoorbeeld een openstaande rekening te betalen, een besteld product te leveren, een belofte na te komen e.d.	brief met een aanmaning	Een aanmaningsbrief is een brief waarin men iemand of iets aanmaant om iets te doen.	Een aanmaningsbrief is een brief waarin men iemand of iets aanmaant om iets te doen.	0.7179913520812988	0.6622421145439148	0.6889908313751221	0.6506300568580627	0.8160977363586426	0.9751960039138794
aanpassingsmoeilijkheden	substantief	1.0	482915	610656	moeilijkheden die zich voordoen als iemand zich probeert aan te passen aan veranderde omstandigheden	moeilijkheden bij het zich aanpassen	Aanpassingsmoeilijkheden zijn moeilijkheden bij het zich aanpassen aan veranderingen of nieuwe situaties.	Aanpassingsmoeilijkheden zijn moeilijkheden bij het zich aanpassen aan veranderingen of nieuwe situaties.	0.7600902915000916	0.7490499019622803	0.7545296549797058	0.8566979765892029	0.8059757947921753	0.9982905387878418
aanschietende zee	verbinding	1.0	900294	900295	in nautische of weerkundige zin ook specifieker ter aanduiding van de golfslag bij een windkracht van 6 beaufort en golven van 2,5 tot 4 meter	matige golving van het zeeoppervlak	Lange definitie: soms ook specifieker in nautische of weerkundige zin ter aanduiding van de golfslag bij een matige windkracht van 3 tot 4 beaufort en golven van 2 tot 3 meter	soms ook specifieker in nautische of weerkundige zin ter aanduiding van de golfslag bij een matige windkracht van 3 tot 4 beaufort en golven van 2 tot 3 meter	0.9426411390304565	0.9489508867263794	0.9457855224609375	0.8361374735832214	0.5145528316497803	0.7861020565032959
aantr.	adjectief	1.0	1590	1591	ook wel: aantrekkelijk	aantrekkelijk(e)	ook wel: aantrekkelijk	ook wel: aantrekkelijk	1.000000238418579	1.000000238418579	1.000000238418579	0.9927920699119568	0.7697651386260986	1.0
aanwezig	adjectief	1.0	1760	1761	zich ergens bevindend voor gebruik beschikbaar op een bepaalde plaats	zich ergens bevindend beschikbaar opvallend of overheersend	'zich ergens bevindend beschikbaar opvallend of overheersend'	'zich ergens bevindend beschikbaar opvallend of overheersend'	0.7485172748565674	0.7637235522270203	0.7560439705848694	0.6394794583320618	0.6541630029678345	0.8209068775177002
aanwezig	adjectief	1.1	1760	563692	voor gebruik beschikbaar op een bepaalde plaats	beschikbaar	Het woord 'aanwezig' heeft de volgende korte definitie: 'beschikbaar'. De volledige definitie is: 'aanwezig zijn'.	Het woord 'aanwezig' heeft de volgende korte definitie: 'beschikbaar'. De volledige definitie is: 'aanwezig zijn'.	0.5851254463195801	0.6252440214157104	0.6045198440551758	0.4678192138671875	0.7371058464050293	0.7349677681922913
aanwezig	adjectief	1.2	1760	563683	sterk de aandacht op zich vestigend	opvallend of overheersend	Lange definitie: 'aanwezig' betekent ook 'er aanwezig zijn' of 'er zijn'.	'aanwezig' betekent ook 'er aanwezig zijn' of 'er zijn'.	0.5833912491798401	0.6255297660827637	0.6037261486053467	0.36060839891433716	0.4778112769126892	0.5487451553344727
aardappelgeweer	substantief	1.0	284958	284959	op een geweer lijkend schiettuig waarmee aardappels en gelijkaardige voorwerpen weggeschoten kunnen worden	schiettuig	Een aardappelgeweer is een wapen waarmee je aardappelen kunt schieten.	Een aardappelgeweer is een wapen waarmee je aardappelen kunt schieten.	0.7580159902572632	0.7068928480148315	0.7315623760223389	0.7065553665161133	0.4707114100456238	0.7204996347427368
aardappelpuree	substantief	1.0	1879	1880	gerecht dat bestaat uit puree van aardappelen	puree van aardappelen	'puree van aardappelen' is een korte definitie van het woord 'aardappelpuree'. Een aardappelpuree is een puree van aardappelen.	'puree van aardappelen' is een korte definitie van het woord 'aardappelpuree'. Een aardappelpuree is een puree van aardappelen.	0.6998029947280884	0.7558573484420776	0.726750910282135	0.6013715863227844	0.6592540740966797	0.5075476169586182
aardgasbus	substantief	1.0	226574	226577	autobus die op aardgas rijdt en daardoor milieuvriendelijker en goedkoper in gebruik is	autobus die op aardgas rijdt	Lange definitie: autobus die op aardgas rijdt	autobus die op aardgas rijdt	0.9264388084411621	0.697803258895874	0.7960291504859924	0.8563712239265442	0.8647539615631104	0.9802496433258057
aardolieproduct	substantief	1.0	2000	2001	product waarin aardolie de belangrijkste grondstof is	product van aardolie	Een aardolieproduct is een product dat is verkregen door de raffinage van aardolie.	Een aardolieproduct is een product dat is verkregen door de raffinage van aardolie.	0.715252161026001	0.7369785308837891	0.7259528040885925	0.7299460768699646	0.7655237913131714	1.0
aardvarken	substantief	1.0	209684	209685	zoogdier met een snuit die sterk lijkt op die van een varken en met lange, spitse oren als van een ezel, dat leeft in Midden-Afrika en zuidelijk Afrika	Afrikaans zoogdier met varkenssnuit	Lange definitie: zoogdier dat verwant is met de varkens, dat leeft in de savannen ten zuiden van de Sahara, en dat zich onderscheidt door lange, naar boven toe gebogen slagtanden en dikke knobbels onder de ogen en op de snuit	zoogdier dat verwant is met de varkens, dat leeft in de savannen ten zuiden van de Sahara, en dat zich onderscheidt door lange, naar boven toe gebogen slagtanden en dikke knobbels onder de ogen en op de snuit	0.7566024661064148	0.7709965705871582	0.7637316584587097	0.7807672619819641	0.6403921246528625	0.7364630699157715
Abcoudens	adjectief	2.0	563046	563091	van een sportclub, vereniging of andere groep uit Abcoude	van een club e.d. uit Abcoude	van een sportclub, vereniging of andere groep uit Abcoude	van een sportclub, vereniging of andere groep uit Abcoude	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9752447009086609	0.6882172226905823	1.0
aberratie	substantief	1.0	2159	310853	optisch verschijnsel waarbij lichtstralen na breking in een lens, lenzenstelsel of spiegel niet samenvallen in een brandpunt, waardoor een wat onscherpe afbeelding ontstaat	afwijking van de ideale beeldvorming	Een abberatie is een afwijking van de ideale beeldvorming. Een abberatie is een afwijking van de ideale beeldvorming. Een abberatie is een afwijking van de ideale beeldvorming.	Een abberatie is een afwijking van de ideale beeldvorming. Een abberatie is een afwijking van de ideale beeldvorming. Een abberatie is een afwijking van de ideale beeldvorming.	0.627071738243103	0.6061118245124817	0.6164136528968811	0.38550087809562683	0.6168843507766724	0.23188979923725128
aberratie	substantief	2.0	2159	2161	verschijnsel waarbij sterrenlicht niet exact van de bron lijkt te komen voor een bewegende waarnemer, waardoor de waarnemer sterren op andere plaatsen ziet, dan waar zij zich werkelijk bevinden	schijnbare verplaatsing van de sterren	Een aberratie is een schijnbare verplaatsing van de sterren in de hemel.	Een aberratie is een schijnbare verplaatsing van de sterren in de hemel.	0.6980184316635132	0.6566042304039001	0.6766782999038696	0.5838416218757629	0.736626923084259	0.8930799961090088
aberratie	substantief	3.0	2159	2160	iets dat afwijkt of afdwaalt van wat normaal gevonden wordt	afwijking	Lange definitie: 'afwijking' is een woord dat verwijst naar een verandering of afwijking in iemands of iets anders's lichaam of geest.	'afwijking' is een woord dat verwijst naar een verandering of afwijking in iemands of iets anders's lichaam of geest.	0.6435568928718567	0.663802444934845	0.6535229086875916	0.5897729992866516	0.7060748338699341	0.5213406085968018
abonnementhouder	substantief	1.0	2207	2208	iemand die ergens een abonnement voor heeft, bv. voor de trein of voor de dierentuin, meestal met een bijbehorende abonnementskaart die op verzoek getoond moet worden	iemand met een abonnement	iemand die ergens een abonnement op heeft, bv. op een krant, een tijdschrift, een telefoondienst, een kabelmaatschappij etc.	iemand die ergens een abonnement op heeft, bv. op een krant, een tijdschrift, een telefoondienst, een kabelmaatschappij etc.	0.8041787147521973	0.7770825028419495	0.7903984785079956	0.7020629048347473	0.8385846018791199	0.9265862703323364
absint	substantief	1.0	2380	2381	meestal groene likeur, bereid op basis van o.a. alsem en anijs	kruidenlikeur	Een absint is een kruidenlikeur die wordt gemaakt door kruidnagels, kaneel, gember, kaneelstokjes, kruidnagels, kruidnagels, kruidnagels, kruidnagels, kruidnagels.	Een absint is een kruidenlikeur die wordt gemaakt door kruidnagels, kaneel, gember, kaneelstokjes, kruidnagels, kruidnagels, kruidnagels, kruidnagels, kruidnagels.	0.5940014719963074	0.6625824570655823	0.6264204978942871	0.4025176465511322	0.38570642471313477	0.20582127571105957
abstinent	adjectief	1.0	2414	2416	zich vrijwillig onthoudend van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	zich ergens van onthoudend	'Abstinent' betekent 'zich ergens van onthoudend'.	'Abstinent' betekent 'zich ergens van onthoudend'.	0.6509606242179871	0.6309075355529785	0.6407772302627563	0.4530389606952667	0.6361051797866821	0.8691745400428772
abstinent	substantief	2.0	2414	2415	iemand die zich vrijwillig onthoudt van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	iemand die zich ergens van onthoudt	'Abstinent' betekent iemand die zich ergens van onthoudt.	'Abstinent' betekent iemand die zich ergens van onthoudt.	0.7510076761245728	0.6862246990203857	0.7171561121940613	0.5281066298484802	0.8176798820495605	0.9198758602142334
abstinentie	substantief	1.0	2419	2420	vrijwillige onthouding, vooral van verslavende genotmiddelen als alcohol en drugs, of van seksuele omgang	vrijwillige onthouding	'Abstinentie' betekent 'vrijwillige onthouding'.	'Abstinentie' betekent 'vrijwillige onthouding'.	0.653741717338562	0.6430283188819885	0.6483407020568848	0.5783504843711853	0.7124367356300354	0.9638289213180542
abstinentie	substantief	2.0	2419	2421	het bewust afzien van een daad die men kan stellen of van een recht dat men heeft	afstand van rechten	'Abstinentie' betekent 'afstand van rechten'.	'Abstinentie' betekent 'afstand van rechten'.	0.6190319061279297	0.6237863302230835	0.6214000582695007	0.443695992231369	0.49928876757621765	0.8463739156723022
accent circonflexe	substantief	1.0	466369	603747	teken ^ dat vooral gebruikt wordt in de spelling van Franse woorden en Franse leenwoorden als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	teken ^ in spelling symbool in een wiskundige formule	Lange definitie: teken ^ in spelling symbool in een wiskundige formule	teken ^ in spelling symbool in een wiskundige formule	0.8190895318984985	0.670210599899292	0.7372086644172668	0.5289798378944397	0.5157503485679626	0.46849870681762695
accent circonflexe	substantief	1.1	466369	603762	als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	symbool in een wiskundige formule	Een accent circonflexe is een symbool in een wiskundige formule.	Een accent circonflexe is een symbool in een wiskundige formule.	0.7120426893234253	0.6909992694854736	0.7013631463050842	0.5388187170028687	0.5470723509788513	0.34332478046417236
acceptant	substantief	1.0	2511	2512	iemand die met een handtekening een wissel heeft geaccepteerd en zich daardoor heeft verbonden deze op de vervaldag te betalen	accepteerder van wissel	Een acceptant is iemand die wissels accepteert.	Een acceptant is iemand die wissels accepteert.	0.723017156124115	0.6310941576957703	0.67393559217453	0.44746100902557373	0.739486575126648	0.8477292060852051
acceptant	substantief	2.0	2511	2513	iemand die voor zijn beroep bij een verzekeringsmaatschappij de aanvragen voor verzekeringen behandelt	verzekeringsmedewerker	Een acceptant is iemand die een verzekeringspolis accepteert.	Een acceptant is iemand die een verzekeringspolis accepteert.	0.7593420743942261	0.7333773374557495	0.7461339235305786	0.619515061378479	0.5883142352104187	0.6693443655967712
acceptant	substantief	3.0	2511	2514	bedrijf dat betaling met een bepaalde betaalkaart accepteert	aannemer van betaalkaart	Een acceptant is iemand die betaalkaarten aanneemt.	Een acceptant is iemand die betaalkaarten aanneemt.	0.7599855065345764	0.7864619493484497	0.7729970812797546	0.7859539985656738	0.703680157661438	0.772611141204834
acces	substantief	1.0	2529	2530	plaats die door haar hogere ligging aan legereenheden een doorgang biedt in onder water gezet gebied	doorgang	Lange definitie: 'doorgang' of 'toegang' tot een gebouw of andere ruimte	'doorgang' of 'toegang' tot een gebouw of andere ruimte	0.6205803155899048	0.6104488372802734	0.6154728531837463	0.41729170083999634	0.6500356793403625	0.36690574884414673
accordeonfile	substantief	1.0	340340	340341	file die bestaat uit delen waar de automobilisten stilstaan en delen waar zij ineens weer een stuk kunnen doorrijden	file die in en uit elkaar schuift	Een accordeonfile is een file die in en uit elkaar schuift.	Een accordeonfile is een file die in en uit elkaar schuift.	0.6835057139396667	0.6784566640853882	0.6809718608856201	0.37437114119529724	0.42534497380256653	0.3982873558998108
achter de geraniums zitten	verbinding	1.0	914356	916989	een weinig actief leven leiden	thuis zitten	'achter de geraniums zitten' betekent 'thuis blijven'.	'achter de geraniums zitten' betekent 'thuis blijven'.	0.6080130338668823	0.6420612335205078	0.6245734691619873	0.30462437868118286	0.4870804250240326	0.5627315044403076
achtergronddanser	substantief	1.0	265398	265399	danser die uit liefhebberij of als beroep op de achtergrond danst bij het optreden van een artiest	danser op de achtergrond	Een achtergronddanser is iemand die op de achtergrond danst.	Een achtergronddanser is iemand die op de achtergrond danst.	0.7661043405532837	0.6991469264030457	0.7310957908630371	0.7094854116439819	0.8147169947624207	0.967658519744873
actief faalangstige	verbinding	1.0	903284	903287	iemand die zich extra, soms zelfs te veel, inspant om goede resultaten te halen omdat hij denkt dat dit anders niet zal lukken	iemand met positieve faalangst	Lange definitie: met een type faalangst waardoor iemand extra, soms zelfs te veel, zijn best doet om goede resultaten te halen, omdat hij denkt dat dit anders niet zal lukken	met een type faalangst waardoor iemand extra, soms zelfs te veel, zijn best doet om goede resultaten te halen, omdat hij denkt dat dit anders niet zal lukken	0.8628129363059998	0.9058492183685303	0.8838074803352356	0.7728970646858215	0.5680080056190491	0.8876984119415283
actiegericht	adjectief	1.0	3209	3210	afgestemd op, aanzettend tot het ondernemen van actie	gericht op actie	Lange definitie: gericht op actie, d.w.z. op het ondernemen van actie.	gericht op actie, d.w.z. op het ondernemen van actie.	0.7240439653396606	0.7467892169952393	0.7352407574653625	0.7159649729728699	0.7223230600357056	0.957663893699646
actieveling	substantief	1.0	3229	645337	iemand die actief is op enig gebied, bijvoorbeeld in het verenigingsleven, in het vrijwilligerswerk e.d.	iemand die actief is	Lange definitie: iemand die, doorgaans in een groep, actievoert om iets bereiken	iemand die, doorgaans in een groep, actievoert om iets bereiken	0.7041842937469482	0.6703993082046509	0.6868765950202942	0.7244459986686707	0.8026761412620544	0.6655601263046265
actieveling	substantief	2.0	3229	3230	iemand die voordurend in de weer is	iemand die buitengewoon actief is	Lange definitie: iemand die buitengewoon actief is.	iemand die buitengewoon actief is.	0.8149851560592651	0.7814961075782776	0.7978894114494324	0.8324248194694519	0.8741205930709839	1.0
acuut	adjectief	1.0	3320	3321	plotseling optredend, vaak met hevige verschijnselen, maar van tijdelijke aard	niet chronisch	Lange definitie: 'niet chronisch'	'niet chronisch'	0.682997465133667	0.6349101066589355	0.6580765247344971	0.5687697529792786	0.8229413032531738	0.5413413047790527
