Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	paling aal als voedsel, vooral als gerecht bereid	0.6303004622459412	0.5638211965560913	0.5952103137969971	0.21152085065841675	0.44417402148246765	0.2502762973308563
aal	substantief	B.1.0	550	554	katholieke geestelijke die verbonden is aan een legerafdeling en die belast is met pastoraal werk en begeleiding en ondersteuning van militairen	aalmoezenier	iemand die zich aalmoezenier noemt	0.5974001884460449	0.5900911688804626	0.5937231779098511	0.30403390526771545	0.5336004495620728	0.23122091591358185
aal	substantief	C.1.0	550	485623	vloeibare mest	mestvocht	mestvocht van runderen en varkens	0.6711424589157104	0.6771612763404846	0.6741383671760559	0.41827619075775146	0.5534915328025818	0.4651472270488739
aal	substantief	A.1.1	550	555	door de mens als voedsel geconsumeerde aal	aal als voedsel	aal die men als voedsel gebruikt	0.8054980039596558	0.7445360422134399	0.7738181948661804	0.6758960485458374	0.4920075237751007	0.8800548315048218
aalglad	adjectief	1.0	558	229438	kaal met zeer weinig weerstand, waardoor je kunt uitglijden	zonder enige hobbel of rimpel erg glibberig	zonder enige hobbel of rimpel zeer glibberig	0.6616333723068237	0.678176999092102	0.6698030829429626	0.547218382358551	0.5995823740959167	0.5524523854255676
aalglad	adjectief	2.0	558	559	niet te verslaan	supersnel	zeer snel	0.7642842531204224	0.7321583032608032	0.7478764057159424	0.5211288332939148	0.5676766633987427	0.5424866080284119
aalglad	adjectief	3.0	558	229439	communicatief zeer sterk	niet te vangen	zeer moeilijk te vangen	0.7296191453933716	0.7325513362884521	0.7310823202133179	0.4733440577983856	0.5410720705986023	0.5181907415390015
aalglad	adjectief	4.0	558	229448	goed in elkaar zittend	(te) gelikt	heel erg gelikt	0.7510873079299927	0.7206258773803711	0.7355414032936096	0.6071134805679321	0.5148856043815613	0.427858829498291
aalglad	adjectief	1.1	558	232192	met zeer weinig weerstand, waardoor je kunt uitglijden	erg glibberig	heel erg glibberig	0.7025872468948364	0.6689473390579224	0.6853547096252441	0.49694445729255676	0.565231442451477	0.6454135179519653
Aalstenaar	substantief	1.0	576	577	inwoner van de stad Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand uit Aalst lid e.d. van een club uit Aalst	inwoner van Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	0.97971510887146	0.9663047194480896	0.9729636311531067	0.9362832903862	0.7058799266815186	0.8925812244415283
Aalstenaar	substantief	1.1	576	530830	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	lid e.d. van een club uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	1.0	1.0	1.0	0.9681907296180725	0.7072828412055969	0.9219708442687988
aanbiddingszanger	substantief	1.0	493255	493257	zanger die religieuze, meestal christelijke, liederen zingt	zanger van religieuze liederen	iemand die voor zijn beroep of uit liefhebberij religieuze liederen zingt	0.748737096786499	0.8143281936645508	0.7801564335823059	0.7688735127449036	0.7538006901741028	0.8703731298446655
aanblijfpremie	substantief	1.0	232086	232087	premie die uitgeloofd wordt als iemand aanblijft in een bepaalde functie, meestal een belangrijke functie	premie voor een functionaris die aanblijft	premie die betaald wordt aan een functionaris die aanblijft in een bepaalde periode	0.8482397198677063	0.8223562240600586	0.8350974321365356	0.8676151633262634	0.7642567157745361	0.8159381151199341
aandachtsboog	substantief	1.0	232103	232107	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	mate waarin iemand geconcentreerd blijft bij het uitvoeren van een taak	0.7619798183441162	0.6908204555511475	0.724657416343689	0.7440279126167297	0.6371073722839355	0.8323055505752563
aandachtseconomie	substantief	1.0	945237	949219	economie of samenleving waarin het trekken en behouden van aandacht van consumenten of mensen in het algemeen centraal staat	economie gericht op aandacht	economie die gericht is op het krijgen van aandacht	0.7588781118392944	0.7173733711242676	0.7375423312187195	0.5807376503944397	0.6370934247970581	0.6999664306640625
aandachtsspanne	substantief	1.0	826702	877155	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	mate waarin iemand geconcentreerd blijft bij het uitvoeren van een taak	0.7619798183441162	0.6908204555511475	0.724657416343689	0.7491563558578491	0.6975041627883911	0.8409967422485352
aandeelhouderswaarde	substantief	1.0	769	770	waarde die een onderneming of een bedrijf vertegenwoordigt in de ogen van mogelijke investeerders en die vooral wordt beïnvloed door de omvang en de winstgevendheid van die onderneming of dat bedrijf	waarde van een onderneming	waarde van een onderneming voor de aandeelhouders	0.7917218804359436	0.6699745655059814	0.7257779836654663	0.6591401100158691	0.6266610026359558	0.589593768119812
aandelenleaseproduct	substantief	1.0	235704	235706	financieel product waarbij er belegd wordt met aandelen die gekocht zijn met geleend geld	beleggingsproduct gekocht met geleend geld	beleggingsproduct dat gekocht wordt met geleend geld	0.8758483529090881	0.8500901460647583	0.8627769947052002	0.8320369720458984	0.6670747995376587	0.8756492137908936
aankomstdatum	substantief	1.0	1058	1059	datum waarop iemand (of een groep van personen) of iets geacht wordt of werd aan te komen	datum waarop iemand of iets aankomt	datum waarop iemand of iets ergens aankomt	0.8686877489089966	0.7974013686180115	0.8315195441246033	0.6928026080131531	0.7226549386978149	0.7807333469390869
aankoopfraude	substantief	1.0	529059	529060	vorm van fraude die gepleegd wordt bij de aankoop van goederen of diensten, waarbij deze meestal niet geleverd worden, terwijl de klant er wel voor betaald heeft	fraude bij aankopen	fraude waarbij een aankoop wordt gedaan zonder dat er daadwerkelijk een aankoop plaatsvindt	0.7654253244400024	0.7299474477767944	0.7472655773162842	0.5663987994194031	0.6866726875305176	0.5935531854629517
aanmaningsbrief	substantief	1.0	519713	519714	brief waarin de ontvanger aangemaand wordt iets te doen, bijvoorbeeld een openstaande rekening te betalen, een besteld product te leveren, een belofte na te komen e.d.	brief met een aanmaning	brief waarin men een aanmaning doet om iets te doen	0.7805804014205933	0.6824167370796204	0.7282052040100098	0.602060079574585	0.6673959493637085	0.6445252299308777
aanpassingsmoeilijkheden	substantief	1.0	482915	610656	moeilijkheden die zich voordoen als iemand zich probeert aan te passen aan veranderde omstandigheden	moeilijkheden bij het zich aanpassen	moeilijkheden die iemand ondervindt bij het zich aanpassen aan iets	0.8281111717224121	0.799829363822937	0.8137245774269104	0.8654459714889526	0.7419578433036804	0.7670885324478149
aanschietende zee	verbinding	1.0	900294	900295	in nautische of weerkundige zin ook specifieker ter aanduiding van de golfslag bij een windkracht van 6 beaufort en golven van 2,5 tot 4 meter	matige golving van het zeeoppervlak	matige golving van het zeeoppervlak als gevolg van de zeespiegelstijging	0.6725786328315735	0.6283804178237915	0.6497287154197693	0.5087551474571228	0.5752338171005249	0.2693786919116974
aantr.	adjectief	1.0	1590	1591	ook wel: aantrekkelijk	aantrekkelijk(e)	(figuurlijk) aantrekkelijk	0.8222388029098511	0.8181264400482178	0.820177435874939	0.6801332831382751	0.5929317474365234	0.6593167781829834
aanwezig	adjectief	1.0	1760	1761	zich ergens bevindend voor gebruik beschikbaar op een bepaalde plaats	zich ergens bevindend beschikbaar opvallend of overheersend	zich ergens bevindend beschikbaar om gebruikt te worden opvallend of overheersend	0.7535842657089233	0.807590126991272	0.7796530723571777	0.6628379225730896	0.5243489742279053	0.7140185236930847
aanwezig	adjectief	1.1	1760	563692	voor gebruik beschikbaar op een bepaalde plaats	beschikbaar	beschikbaar om gebruikt te worden	0.7461346387863159	0.7216898798942566	0.7337087392807007	0.6824826598167419	0.5780277848243713	0.6614583730697632
aanwezig	adjectief	1.2	1760	563683	sterk de aandacht op zich vestigend	opvallend of overheersend	opvallend of overheersend in iets of iemand	0.6212475299835205	0.6387750506401062	0.6298893094062805	0.5825114846229553	0.5404921770095825	0.6420304775238037
aardappelgeweer	substantief	1.0	284958	284959	op een geweer lijkend schiettuig waarmee aardappels en gelijkaardige voorwerpen weggeschoten kunnen worden	schiettuig	schiettuig dat bestaat uit een langwerpig wapen met een aardappel als munitie	0.7661875486373901	0.7194916009902954	0.7421057224273682	0.6175514459609985	0.5777788162231445	0.5146751403808594
aardappelpuree	substantief	1.0	1879	1880	gerecht dat bestaat uit puree van aardappelen	puree van aardappelen	puree die gemaakt is van aardappelen	0.8703634738922119	0.8545381426811218	0.8623781800270081	0.8598756194114685	0.7062051892280579	0.8325117826461792
aardgasbus	substantief	1.0	226574	226577	autobus die op aardgas rijdt en daardoor milieuvriendelijker en goedkoper in gebruik is	autobus die op aardgas rijdt	autobus die op aardgas rijdt en daardoor milieuvriendelijker is dan een dieselbus	0.8910598158836365	0.8806001543998718	0.8857991099357605	0.9076558947563171	0.6974087953567505	0.8900164365768433
aardolieproduct	substantief	1.0	2000	2001	product waarin aardolie de belangrijkste grondstof is	product van aardolie	product dat wordt verkregen uit aardolie	0.7863262891769409	0.7845321297645569	0.7854281663894653	0.764435350894928	0.7219048738479614	0.8675915002822876
aardvarken	substantief	1.0	209684	209685	zoogdier met een snuit die sterk lijkt op die van een varken en met lange, spitse oren als van een ezel, dat leeft in Midden-Afrika en zuidelijk Afrika	Afrikaans zoogdier met varkenssnuit	Afrikaans zoogdier met een snuit die lijkt op die van een varken	0.917609453201294	0.7819390892982483	0.8443592190742493	0.6466429233551025	0.715022087097168	0.5951021909713745
Abcoudens	adjectief	2.0	563046	563091	van een sportclub, vereniging of andere groep uit Abcoude	van een club e.d. uit Abcoude	van een club, vereniging of andere groep uit Abcoude	0.97968989610672	0.9685145616531372	0.9740701913833618	0.919224202632904	0.5970126390457153	0.9008438587188721
aberratie	substantief	1.0	2159	310853	optisch verschijnsel waarbij lichtstralen na breking in een lens, lenzenstelsel of spiegel niet samenvallen in een brandpunt, waardoor een wat onscherpe afbeelding ontstaat	afwijking van de ideale beeldvorming	afwijking van de ideale beeldvorming van een persoon of zaak	0.7211287021636963	0.6707949042320251	0.6950516700744629	0.4784174859523773	0.6607419848442078	0.31860893964767456
aberratie	substantief	2.0	2159	2161	verschijnsel waarbij sterrenlicht niet exact van de bron lijkt te komen voor een bewegende waarnemer, waardoor de waarnemer sterren op andere plaatsen ziet, dan waar zij zich werkelijk bevinden	schijnbare verplaatsing van de sterren	schijnbare verplaatsing van de sterren in de hemel	0.705825686454773	0.657190203666687	0.6806402206420898	0.5117532014846802	0.5283951759338379	0.7119079828262329
aberratie	substantief	3.0	2159	2160	iets dat afwijkt of afdwaalt van wat normaal gevonden wordt	afwijking	afwijking van de normale eigenschappen van iets	0.7007587552070618	0.6814948916435242	0.6909925937652588	0.7076172232627869	0.7018671035766602	0.7882386445999146
abonnementhouder	substantief	1.0	2207	2208	iemand die ergens een abonnement voor heeft, bv. voor de trein of voor de dierentuin, meestal met een bijbehorende abonnementskaart die op verzoek getoond moet worden	iemand met een abonnement	iemand die een abonnement heeft	0.9025439023971558	0.6836628317832947	0.7780017256736755	0.504409909248352	0.7591732144355774	0.5211372375488281
absint	substantief	1.0	2380	2381	meestal groene likeur, bereid op basis van o.a. alsem en anijs	kruidenlikeur	kruidenlikeur die gemaakt wordt van absint	0.726496696472168	0.6966015100479126	0.7112351059913635	0.6593528985977173	0.6366755366325378	0.5203378200531006
abstinent	adjectief	1.0	2414	2416	zich vrijwillig onthoudend van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	zich ergens van onthoudend	zich ergens van onthoudend, zich ergens van onthoudend	0.7028279304504395	0.6320794820785522	0.6655789017677307	0.24458688497543335	0.4897378385066986	0.26662755012512207
abstinent	substantief	2.0	2414	2415	iemand die zich vrijwillig onthoudt van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	iemand die zich ergens van onthoudt	iemand die zich ergens van onthoudt, bijvoorbeeld van alcoholgebruik	0.8176087141036987	0.7659541964530945	0.7909389734268188	0.678338885307312	0.7566416263580322	0.920310378074646
abstinentie	substantief	1.0	2419	2420	vrijwillige onthouding, vooral van verslavende genotmiddelen als alcohol en drugs, of van seksuele omgang	vrijwillige onthouding	vrijwillige onthouding van seksuele handelingen	0.869930624961853	0.7578346729278564	0.8100229501724243	0.6596977114677429	0.6944513916969299	0.6628475189208984
abstinentie	substantief	2.0	2419	2421	het bewust afzien van een daad die men kan stellen of van een recht dat men heeft	afstand van rechten	afstand van rechten of verplichtingen	0.7188370227813721	0.6866242289543152	0.7023614645004272	0.4692293703556061	0.6130733489990234	0.5767595767974854
accent circonflexe	substantief	1.0	466369	603747	teken ^ dat vooral gebruikt wordt in de spelling van Franse woorden en Franse leenwoorden als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	teken ^ in spelling symbool in een wiskundige formule	teken ^ in spelling symbool in een wiskundige formule dat aangeeft dat de waarde van een getal gelijk is aan de waarde van een ander getal	0.7935359477996826	0.7201173305511475	0.7550460696220398	0.6683477759361267	0.4858317971229553	0.39441850781440735
accent circonflexe	substantief	1.1	466369	603762	als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	symbool in een wiskundige formule	symbool in een wiskundige formule dat de waarde van een getal aangeeft	0.8042911291122437	0.7475060224533081	0.7748595476150513	0.7013733983039856	0.6125790476799011	0.6316840648651123
acceptant	substantief	1.0	2511	2512	iemand die met een handtekening een wissel heeft geaccepteerd en zich daardoor heeft verbonden deze op de vervaldag te betalen	accepteerder van wissel	iemand die een wissel accepteert	0.8509513139724731	0.6993327140808105	0.767727792263031	0.46198728680610657	0.6028177738189697	0.6789768934249878
acceptant	substantief	2.0	2511	2513	iemand die voor zijn beroep bij een verzekeringsmaatschappij de aanvragen voor verzekeringen behandelt	verzekeringsmedewerker	medewerker van een verzekeringsmaatschappij die de polissen van verzekerden accepteert	0.8475238084793091	0.8232783675193787	0.8352251648902893	0.7974857687950134	0.6887543797492981	0.6329939365386963
acceptant	substantief	3.0	2511	2514	bedrijf dat betaling met een bepaalde betaalkaart accepteert	aannemer van betaalkaart	iemand die een betaalkaart aanneemt	0.8616403341293335	0.8533989787101746	0.8574998378753662	0.7425886392593384	0.6475697755813599	0.6463214159011841
acces	substantief	1.0	2529	2530	plaats die door haar hogere ligging aan legereenheden een doorgang biedt in onder water gezet gebied	doorgang	doorgang die toegang tot een gebouw geeft	0.72398841381073	0.6624488234519958	0.691852867603302	0.4851354658603668	0.641638994216919	0.30666911602020264
accordeonfile	substantief	1.0	340340	340341	file die bestaat uit delen waar de automobilisten stilstaan en delen waar zij ineens weer een stuk kunnen doorrijden	file die in en uit elkaar schuift	file die in en uit elkaar schuift als een accordeon	0.6916828155517578	0.6850578784942627	0.6883544325828552	0.3587236702442169	0.5278733372688293	0.4297187328338623
achter de geraniums zitten	verbinding	1.0	914356	916989	een weinig actief leven leiden	thuis zitten	thuis zitten en niet naar buiten gaan	0.6954695582389832	0.7133052349090576	0.7042744755744934	0.5049453377723694	0.4756767451763153	0.6120129227638245
achtergronddanser	substantief	1.0	265398	265399	danser die uit liefhebberij of als beroep op de achtergrond danst bij het optreden van een artiest	danser op de achtergrond	danser die op de achtergrond danst	0.8994522094726562	0.7417894005775452	0.8130480647087097	0.4817931652069092	0.6523029804229736	0.6775701642036438
actief faalangstige	verbinding	1.0	903284	903287	iemand die zich extra, soms zelfs te veel, inspant om goede resultaten te halen omdat hij denkt dat dit anders niet zal lukken	iemand met positieve faalangst	iemand die actief faalangst heeft	0.7076563835144043	0.6349215507507324	0.6693187355995178	0.3995778262615204	0.5845716595649719	0.30804961919784546
actiegericht	adjectief	1.0	3209	3210	afgestemd op, aanzettend tot het ondernemen van actie	gericht op actie	gericht op het ondernemen van actie	0.8748341202735901	0.7669212818145752	0.8173311352729797	0.7143595814704895	0.5960352420806885	0.7626830339431763
actieveling	substantief	1.0	3229	645337	iemand die actief is op enig gebied, bijvoorbeeld in het verenigingsleven, in het vrijwilligerswerk e.d.	iemand die actief is	iemand die actief is in iets	0.8072418570518494	0.6427929401397705	0.7156922817230225	0.6938073039054871	0.6218876838684082	0.58415687084198
actieveling	substantief	2.0	3229	3230	iemand die voordurend in de weer is	iemand die buitengewoon actief is	iemand die buitengewoon actief is in iets	0.8217523097991943	0.8158315420150757	0.8187812566757202	0.7428573966026306	0.6392045021057129	0.8759102821350098
acuut	adjectief	1.0	3320	3321	plotseling optredend, vaak met hevige verschijnselen, maar van tijdelijke aard	niet chronisch	zich in korte tijd voordoende	0.6986383199691772	0.6369145512580872	0.6663500666618347	0.42290982604026794	0.4581802785396576	0.42164021730422974
acuut	adjectief	3.0	3320	3322	plotseling in verscherpte vorm optredend en onmiddellijk ingrijpen vereisend	plotseling optredend	zich plotseling voordoend	0.8019477128982544	0.7359545230865479	0.7675351500511169	0.526401937007904	0.6320924758911133	0.4396566152572632
acuut	adjectief	2.1	3320	572728	voor patiënten met een spoedeisende aandoening	voor spoedeisende aandoeningen	voor de behandeling van spoedeisende aandoeningen	0.8630223274230957	0.8555186986923218	0.8592541217803955	0.8620731830596924	0.5920634269714355	0.8173398971557617
ad absurdum	adjectief	1.0	362995	362999	op een zodanige wijze dat het absurd geworden is, dat het absurde, belachelijke gevolgen heeft	tot in het absurde	tot op het punt van absurditeit	0.7337626218795776	0.6711388230323792	0.7010549902915955	0.5870656371116638	0.694298505783081	0.6058666706085205
ad limina apostolorum	substantief	1.1	363305	363326	bezoek aan Rome dat eens in de vijf jaren door de bisschoppen afgelegd moet worden om aan de paus verslag te doen van hetgeen zich in hun bisdom en in de kerkprovincie heeft afgespeeld (en om de graven van de apostelen Paulus en Petrus te bezoeken)	verplicht bezoek van bisschoppen aan Rome	(Latijn, letterlijk 'bij de poorten van de apostelen') verplicht bezoek van bisschoppen aan Rome om de paus te bezoeken	0.7254146337509155	0.6810275316238403	0.7025206685066223	0.5720368027687073	0.6709127426147461	0.36679917573928833
ADD'er	substantief	1.0	230514	230519	iemand die aan de aandachtsstoornis ADD (Attention Deficit Disorder) lijdt, wat zich kenmerkt door aandachts- en concentratieproblemen en die daardoor langzaam en traag maar vaak juist wel zeer intelligent is	iemand met ADD	iemand die aan ADD lijdt	0.8296302556991577	0.5955843329429626	0.6933900713920593	0.42462459206581116	0.7074981927871704	0.5480648279190063
addison	substantief	1.0	490876	492855	ernstige, maar zeldzame ziekte die veroorzaakt wordt door een verminderde functie van de bijnierschors, waardoor een tekort ontstaat aan de hormonen aldosteron en cortisol, met als meest kenmerkende symptoom een oranje of bruine verkleuring van de huid	ziekte van Addison	ziekte waarbij de schildklier te weinig schildklierhormoon produceert	0.681884765625	0.6422934532165527	0.6614972352981567	0.4797677993774414	0.7309488654136658	0.31651559472084045
ademhalingsmoeilijkheden	substantief	1.0	445382	610675	moeilijkheden die persoon of dier ondervindt bij het ademhalen	moeilijkheden bij het ademhalen	moeilijkheden die iemand ondervindt bij het ademhalen	0.9666799306869507	0.9331021904945374	0.9495943188667297	0.8750299215316772	0.7076020836830139	0.8320767879486084
ader	substantief	1.0	3442	3443	bloedvat bloedvat waardoor bloed vanuit de weefsels in de richting van een van de hartboezems stroomt	bloedvat bloedvat richting hart ader als baan voor gevoelens	bloedvat dat de bloedtoevoer naar het hart verzorgt bloedvat dat de bloedtoevoer naar het hart verzorgt	0.7335296869277954	0.7106097340583801	0.7218878269195557	0.605598509311676	0.4268064796924591	0.3335387408733368
ader	substantief	2.0	3442	560565	nauwe doorgang in de aardkorst waaruit water opwelt	nauwe doorgang in de aardkorst	nauwe doorgang in de aardkorst die dient om vloeistoffen of gassen te transporteren	0.7619822025299072	0.8453620672225952	0.8015094995498657	0.6893602609634399	0.6757667064666748	0.8751458525657654
ader	substantief	3.0	3442	560567	lange, smalle laag in de aardkorst die een delfstof bevat	smalle laag in de aardkorst	smalle laag in de aardkorst waarin de aarde zich voortbeweegt	0.8219879865646362	0.834051251411438	0.8279756903648376	0.649712085723877	0.5018920302391052	0.44811737537384033
ader	substantief	4.0	3442	560568	belangrijke verbinding of weg in een landschap	verbinding of weg	verbinding of weg tussen twee plaatsen of zaken	0.8233173489570618	0.8230078220367432	0.8231626152992249	0.6415109634399414	0.6231077313423157	0.5493417382240295
ader	substantief	5.0	3442	560569	dunne, kronkelende streep in hout, steen enz.	dunne, kronkelende streep	dunnere, kronkelende streep in een tekening of schilderij	0.8088416457176208	0.787616491317749	0.7980879545211792	0.7555743455886841	0.5570909380912781	0.4822186529636383
ader	substantief	6.0	3442	560570	met een isolerende stof omgeven draad in een kabel	draad in een kabel	draad die in een kabel wordt verbonden met een andere draad	0.7715311050415039	0.7650883197784424	0.7682961821556091	0.6131798028945923	0.5413460731506348	0.5798625946044922
ader	substantief	7.0	3442	560571	fijnere vertakking van de bladnerven	bladader	bloedvat in de bladeren van een plant	0.744260847568512	0.7146090269088745	0.7291335463523865	0.572408139705658	0.5920692682266235	0.3946587145328522
ader	substantief	8.0	3442	560572	vertakking van het chitinegeraamte in insectenvleugels	vertakking van het chitinegeraamte	vertakking van het chitinegeraamte van een lichaamsdeel	0.8917098045349121	0.8730868101119995	0.882300078868866	0.7407244443893433	0.47238853573799133	0.6234697103500366
ader	substantief	1.1	3442	560271	bloedvat waardoor bloed vanuit de weefsels in de richting van een van de hartboezems stroomt	bloedvat richting hart	bloedvat dat het bloed naar het hart brengt	0.8435006141662598	0.7645683288574219	0.8020972609519958	0.6300593614578247	0.6227895021438599	0.7575094699859619
ader	substantief	1.2	3442	560573	ader beschouwd als baan voor gevoelens en aandoeningen	ader als baan voor gevoelens	ader als baan voor gevoelens en gedachten	0.9292874932289124	0.9149963855743408	0.9220865964889526	0.7544128894805908	0.47108030319213867	0.7269091010093689
adhesie	substantief	1.0	3450	3451	aantrekkingskracht tussen moleculen van verschillende stoffen, bv. van een vloeistof en een vaste stof, of tussen oppervlakken van verschillende zaken	aantrekkingskracht tussen moleculen	aantrekkingskracht tussen moleculen van een stof	0.930736780166626	0.7808733582496643	0.8492442965507507	0.6913630962371826	0.6707568168640137	0.7349621057510376
adhesie	substantief	2.0	3450	3452	vergroeiing of verkleving van of in organen of andere lichaamsdelen	orgaanvergroeiing	orgaanvergroeiing tussen twee lichaamsdelen	0.7997523546218872	0.7460320591926575	0.7719587087631226	0.5993469953536987	0.6060779690742493	0.6082483530044556
ad-hocbeleid	substantief	1.0	364634	364635	beleid dat niet gestoeld is op vastgestelde regels, plannen en doelstellingen, maar dat gekenmerkt wordt door het nemen van incidentele, voor een bijzonder geval geldende beslissingen of maatregelen	incidenteel beleid	beleid dat wordt gevoerd in reactie op een specifieke situatie	0.7355127930641174	0.654627799987793	0.6927171945571899	0.6610731482505798	0.6322576999664307	0.6098394989967346
ad-hocbeslissing	substantief	1.0	366929	366936	beslissing die ter plekke, onmiddellijk, zonder gepland te zijn genomen wordt voor een speciale gelegenheid of in een speciaal geval, maar niet structureel van aard is	gelegenheidsbeslissing	beslissing die wordt genomen tijdens een bepaalde gelegenheid	0.8786380887031555	0.6907576322555542	0.7734517455101013	0.6247492432594299	0.5476492047309875	0.5308818817138672
ADIV	substantief	1.0	326937	326943	Algemene Dienst Inlichting en Veiligheid, Belgische dienst die onderzoek doet naar en inlichtingen verzamelt over militaire zaken	Algemene Dienst Inlichting en Veiligheid	Algemene Dienst Inlichting en Veiligheid, dienst van de Nederlandse overheid die belast is met de inlichtingen- en veiligheidsdiensten	0.8133545517921448	0.8273011445999146	0.8202685713768005	0.8600025773048401	0.7320746183395386	0.7215165495872498
administratief recht	verbinding	1.0	904577	904578	het geheel van rechtsregels omtrent de organisatie, de bevoegdheden en de werking van de uitvoerende macht, het bestuur	bestuursrecht	rechtsgebied dat zich bezighoudt met de verhoudingen tussen de overheid en haar burgers	0.7108063101768494	0.7197829484939575	0.7152664661407471	0.6949512362480164	0.638964831829071	0.4572167992591858
