Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	zeevis met een langwerpig, zijdelings afgeplat lichaam en een lange staart die leeft in de Noordzee en het noordoostelijk deel van de Atlantische Oceaan aal als voedsel	0.7035108804702759	0.7078351974487305	0.7056664228439331	0.46711987257003784	0.5114567875862122	0.21470777690410614
aal	substantief	B.1.0	550	554	katholieke geestelijke die verbonden is aan een legerafdeling en die belast is met pastoraal werk en begeleiding en ondersteuning van militairen	aalmoezenier	aanspreektitel van een aalmoezenier	0.6104824542999268	0.5949665307998657	0.6026246547698975	0.3024059236049652	0.5344271659851074	0.2708941102027893
aal	substantief	C.1.0	550	485623	vloeibare mest	mestvocht	vloeibare meststof die wordt verkregen door aal te fermenteren	0.6796807646751404	0.8440991044044495	0.7530194520950317	0.6129179000854492	0.624235212802887	0.6831528544425964
aal	substantief	A.1.1	550	555	door de mens als voedsel geconsumeerde aal	aal als voedsel	consumptievis met wit visvlees en een zachte smaak	0.6441099643707275	0.6549627780914307	0.6494910717010498	0.51167231798172	0.42185255885124207	0.39440470933914185
aalglad	adjectief	1.0	558	229438	kaal met zeer weinig weerstand, waardoor je kunt uitglijden	zonder enige hobbel of rimpel erg glibberig	zonder enige hobbel of rimpel erg glad	0.6524295806884766	0.6596633195877075	0.6560264825820923	0.43013083934783936	0.5936707854270935	0.7271664142608643
aalglad	adjectief	2.0	558	559	niet te verslaan	supersnel	met een zeer hoge snelheid	0.6844465136528015	0.7026272416114807	0.6934177279472351	0.43255555629730225	0.5816265344619751	0.6130157709121704
aalglad	adjectief	3.0	558	229439	communicatief zeer sterk	niet te vangen	op een zodanige wijze dat het onmogelijk is om hem te vangen	0.613341212272644	0.6427578330039978	0.6277050971984863	0.40455713868141174	0.5414173007011414	0.5403602123260498
aalglad	adjectief	4.0	558	229448	goed in elkaar zittend	(te) gelikt	met een gladde, glibberige oppervlak	0.6233353614807129	0.6571254134178162	0.6397845149040222	0.4150770902633667	0.6003808975219727	0.5020736455917358
aalglad	adjectief	1.1	558	232192	met zeer weinig weerstand, waardoor je kunt uitglijden	erg glibberig	uitermate glibberig	0.652829647064209	0.6357079744338989	0.6441550850868225	0.5003082752227783	0.6017813682556152	0.8769962787628174
Aalstenaar	substantief	1.0	576	577	inwoner van de stad Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand uit Aalst lid e.d. van een club uit Aalst	inwoner van Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	0.97971510887146	0.9663047790527344	0.9729636907577515	0.9378432631492615	0.7656207084655762	0.9564183950424194
Aalstenaar	substantief	1.1	576	530830	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	lid e.d. van een club uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	1.0	1.0	1.0	0.969918966293335	0.7790040373802185	0.9757180213928223
aanbiddingszanger	substantief	1.0	493255	493257	zanger die religieuze, meestal christelijke, liederen zingt	zanger van religieuze liederen	zanger die religieuze liederen ten gehore brengt	0.7817520499229431	0.7909570336341858	0.786327600479126	0.6831970810890198	0.8046078681945801	0.960187554359436
aanblijfpremie	substantief	1.0	232086	232087	premie die uitgeloofd wordt als iemand aanblijft in een bepaalde functie, meestal een belangrijke functie	premie voor een functionaris die aanblijft	premie die een functionaris ontvangt als hij aanblijft bij zijn huidige werkgever	0.7974714040756226	0.7757636904716492	0.7864677906036377	0.8564434051513672	0.8371864557266235	0.9616566896438599
aandachtsboog	substantief	1.0	232103	232107	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	mate waarin iemand geconcentreerd kan blijven	0.8497977256774902	0.6664811372756958	0.747058093547821	0.6798214912414551	0.6309531927108765	0.9205776453018188
aandachtseconomie	substantief	1.0	945237	949219	economie of samenleving waarin het trekken en behouden van aandacht van consumenten of mensen in het algemeen centraal staat	economie gericht op aandacht	economie die gericht is op het verkrijgen en vasthouden van de aandacht van consumenten	0.8177064657211304	0.7852818965911865	0.8011662364006042	0.8369490504264832	0.7779936790466309	0.9490485191345215
aandachtsspanne	substantief	1.0	826702	877155	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	mate waarin iemand geconcentreerd en alert blijft	0.8209376335144043	0.6824051737785339	0.7452884912490845	0.6684113144874573	0.7688475847244263	0.9287862777709961
aandeelhouderswaarde	substantief	1.0	769	770	waarde die een onderneming of een bedrijf vertegenwoordigt in de ogen van mogelijke investeerders en die vooral wordt beïnvloed door de omvang en de winstgevendheid van die onderneming of dat bedrijf	waarde van een onderneming	waarde die een onderneming heeft voor haar aandeelhouders	0.8083266019821167	0.6788171529769897	0.7379326224327087	0.6648979187011719	0.7488371133804321	0.8955154418945312
aandelenleaseproduct	substantief	1.0	235704	235706	financieel product waarbij er belegd wordt met aandelen die gekocht zijn met geleend geld	beleggingsproduct gekocht met geleend geld	beleggingsproduct, bijvoorbeeld een beleggingsfonds, dat gekocht wordt met geleend geld	0.7849284410476685	0.8303587436676025	0.8070047497749329	0.8274003863334656	0.6383635401725769	0.9243415594100952
aankomstdatum	substantief	1.0	1058	1059	datum waarop iemand (of een groep van personen) of iets geacht wordt of werd aan te komen	datum waarop iemand of iets aankomt	datum waarop iemand of iets aankomt of aangekomen is	0.8769712448120117	0.8125593662261963	0.843537449836731	0.805779755115509	0.6866255402565002	0.9099761247634888
aankoopfraude	substantief	1.0	529059	529060	vorm van fraude die gepleegd wordt bij de aankoop van goederen of diensten, waarbij deze meestal niet geleverd worden, terwijl de klant er wel voor betaald heeft	fraude bij aankopen	fraude die gepleegd wordt bij de aankoop van iets	0.903441309928894	0.7610797882080078	0.8261726498603821	0.7468929290771484	0.7449394464492798	0.8106064796447754
aanmaningsbrief	substantief	1.0	519713	519714	brief waarin de ontvanger aangemaand wordt iets te doen, bijvoorbeeld een openstaande rekening te betalen, een besteld product te leveren, een belofte na te komen e.d.	brief met een aanmaning	brief waarin iemand wordt aangemaand om iets te doen of te stoppen	0.8080597519874573	0.6991523504257202	0.7496713995933533	0.660983681678772	0.8015958070755005	0.7215213775634766
aanpassingsmoeilijkheden	substantief	1.0	482915	610656	moeilijkheden die zich voordoen als iemand zich probeert aan te passen aan veranderde omstandigheden	moeilijkheden bij het zich aanpassen	moeilijkheden die iemand ondervindt bij het zich aanpassen aan iets nieuws	0.8133385181427002	0.800899863243103	0.8070712685585022	0.8868424296379089	0.8183063268661499	0.9651522636413574
aanschietende zee	verbinding	1.0	900294	900295	in nautische of weerkundige zin ook specifieker ter aanduiding van de golfslag bij een windkracht van 6 beaufort en golven van 2,5 tot 4 meter	matige golving van het zeeoppervlak	matige golving van het zeeoppervlak, waarbij de golven niet zo hoog opstijgen als bij ruwe zee, maar ook niet zo laag als bij gladde zee	0.6278165578842163	0.6222004890441895	0.6249958872795105	0.605898380279541	0.689579963684082	0.32376542687416077
aantr.	adjectief	1.0	1590	1591	ook wel: aantrekkelijk	aantrekkelijk(e)	aantrekkelijk in uiterlijk of gedrag	0.7037073373794556	0.755394458770752	0.7286354303359985	0.7052369713783264	0.6145230531692505	0.7586710453033447
aanwezig	adjectief	1.0	1760	1761	zich ergens bevindend voor gebruik beschikbaar op een bepaalde plaats	zich ergens bevindend beschikbaar opvallend of overheersend	zich ergens bevindend aanwezig of aanwezig zijn op een bepaalde plaats of in een bepaalde toestand aanwezig of aanwezig zijn op een bepaalde plaats of in een bepaalde toestand opvallend of overheersend	0.7272233963012695	0.8253836631774902	0.7732005715370178	0.5487052798271179	0.4399363100528717	0.37467220425605774
aanwezig	adjectief	1.1	1760	563692	voor gebruik beschikbaar op een bepaalde plaats	beschikbaar	bereikbaar, beschikbaar	0.7287559509277344	0.6594072580337524	0.692349374294281	0.5953149795532227	0.7358018159866333	0.8371444940567017
aanwezig	adjectief	1.2	1760	563683	sterk de aandacht op zich vestigend	opvallend of overheersend	opvallend of overheersend in zijn soort	0.637066125869751	0.6563090682029724	0.6465443968772888	0.6470984220504761	0.5327877998352051	0.8900340795516968
aardappelgeweer	substantief	1.0	284958	284959	op een geweer lijkend schiettuig waarmee aardappels en gelijkaardige voorwerpen weggeschoten kunnen worden	schiettuig	schiettuig waarmee men aardappels kan afvuren	0.843557596206665	0.7505603432655334	0.7943463325500488	0.6709913015365601	0.5631791949272156	0.8345022797584534
aardappelpuree	substantief	1.0	1879	1880	gerecht dat bestaat uit puree van aardappelen	puree van aardappelen	gerecht bereid uit gekookte en gepureerde aardappelen	0.7825533151626587	0.8408820629119873	0.8106698393821716	0.7516049146652222	0.7056291699409485	0.9248775243759155
aardgasbus	substantief	1.0	226574	226577	autobus die op aardgas rijdt en daardoor milieuvriendelijker en goedkoper in gebruik is	autobus die op aardgas rijdt	autobus die op aardgas rijdt in plaats van op benzine of diesel	0.797705888748169	0.7056273221969604	0.748846709728241	0.7910829782485962	0.746737003326416	0.9719986915588379
aardolieproduct	substantief	1.0	2000	2001	product waarin aardolie de belangrijkste grondstof is	product van aardolie	product dat wordt vervaardigd uit aardolie	0.7826448082923889	0.7861679792404175	0.7844024300575256	0.8219340443611145	0.7465634346008301	0.9745395183563232
aardvarken	substantief	1.0	209684	209685	zoogdier met een snuit die sterk lijkt op die van een varken en met lange, spitse oren als van een ezel, dat leeft in Midden-Afrika en zuidelijk Afrika	Afrikaans zoogdier met varkenssnuit	Afrikaans zoogdier met een varkenssnuit, een dikke huid en lange poten, dat zich vooral voedt met insecten en wormen	0.7802667617797852	0.7296645641326904	0.7541177868843079	0.7332862615585327	0.7009813785552979	0.8040024042129517
Abcoudens	adjectief	2.0	563046	563091	van een sportclub, vereniging of andere groep uit Abcoude	van een club e.d. uit Abcoude	van een sportclub, vereniging of andere groep uit Abcoude	1.0	1.0	1.0	0.9692488312721252	0.602122962474823	0.9547803401947021
aberratie	substantief	1.0	2159	310853	optisch verschijnsel waarbij lichtstralen na breking in een lens, lenzenstelsel of spiegel niet samenvallen in een brandpunt, waardoor een wat onscherpe afbeelding ontstaat	afwijking van de ideale beeldvorming	afwijking van de ideale beeldvorming door een lens of lenssysteem	0.7384890913963318	0.7008790373802185	0.7191927433013916	0.5981808304786682	0.582411527633667	0.7594097852706909
aberratie	substantief	2.0	2159	2161	verschijnsel waarbij sterrenlicht niet exact van de bron lijkt te komen voor een bewegende waarnemer, waardoor de waarnemer sterren op andere plaatsen ziet, dan waar zij zich werkelijk bevinden	schijnbare verplaatsing van de sterren	schijnbare verplaatsing van de sterren ten opzichte van de sterrenbeelden, veroorzaakt door de beweging van de aarde om de zon	0.69091796875	0.6743852496147156	0.6825515031814575	0.5731551647186279	0.581403374671936	0.7562047243118286
aberratie	substantief	3.0	2159	2160	iets dat afwijkt of afdwaalt van wat normaal gevonden wordt	afwijking	afwijking van de waarheid	0.7234112024307251	0.6717973351478577	0.6966495513916016	0.5604584217071533	0.7254071831703186	0.719715416431427
abonnementhouder	substantief	1.0	2207	2208	iemand die ergens een abonnement voor heeft, bv. voor de trein of voor de dierentuin, meestal met een bijbehorende abonnementskaart die op verzoek getoond moet worden	iemand met een abonnement	iemand die een abonnement heeft	0.9025439023971558	0.6836628317832947	0.7780017256736755	0.5032268166542053	0.8309602737426758	0.890720009803772
absint	substantief	1.0	2380	2381	meestal groene likeur, bereid op basis van o.a. alsem en anijs	kruidenlikeur	kruidenlikeur die bereid wordt op basis van jenever, suiker, kaneel, anijs, steranijs en vele andere kruiden en specerijen glas, portie absint	0.7050759792327881	0.767163872718811	0.7348107099533081	0.597816526889801	0.47050711512565613	0.23924720287322998
abstinent	adjectief	1.0	2414	2416	zich vrijwillig onthoudend van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	zich ergens van onthoudend	zich ergens van onthoudend, met name van het drinken van alcohol	0.765936553478241	0.7268663048744202	0.7458901405334473	0.5662866830825806	0.6725542545318604	0.9149435758590698
abstinent	substantief	2.0	2414	2415	iemand die zich vrijwillig onthoudt van verslavende genotsmiddelen zoals alcohol en drugs, of van seksuele omgang	iemand die zich ergens van onthoudt	iemand die zich ergens van onthoudt	0.8553253412246704	0.7048999071121216	0.7728611826896667	0.36824679374694824	0.7956980466842651	0.8919728994369507
abstinentie	substantief	1.0	2419	2420	vrijwillige onthouding, vooral van verslavende genotmiddelen als alcohol en drugs, of van seksuele omgang	vrijwillige onthouding	vrijwillige onthouding van iets	0.8562721014022827	0.7136226296424866	0.7784663438796997	0.5328289270401001	0.7159906625747681	0.8508742451667786
abstinentie	substantief	2.0	2419	2421	het bewust afzien van een daad die men kan stellen of van een recht dat men heeft	afstand van rechten	afstand van bepaalde rechten	0.7777225375175476	0.6747233867645264	0.7225708961486816	0.4214193522930145	0.6037883162498474	0.7367500066757202
accent circonflexe	substantief	1.0	466369	603747	teken ^ dat vooral gebruikt wordt in de spelling van Franse woorden en Franse leenwoorden als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	teken ^ in spelling symbool in een wiskundige formule	teken dat bestaat uit een cirkel met een naar boven gerichte haakje en dat in de spelling gebruikt wordt om aan te geven dat een letter of een lettergroep lang uitgesproken moet worden symbool dat in wiskundige formules gebruikt wordt om aan te geven dat een variabele of een getal in het kwadraat staat	0.7161834239959717	0.7398542165756226	0.7278264164924622	0.6127861142158508	0.48030605912208557	0.3280089199542999
accent circonflexe	substantief	1.1	466369	603762	als operator gebruikt symbool waarmee in een formule wordt aangegeven dat een getal verheven moet worden tot een bepaalde macht	symbool in een wiskundige formule	symbool in een wiskundige formule dat aangeeft dat een variabele of een andere wiskundige grootheid exponentieel groeit	0.7548190355300903	0.7604382038116455	0.7576181888580322	0.6796586513519287	0.6166884303092957	0.6941890120506287
acceptant	substantief	1.0	2511	2512	iemand die met een handtekening een wissel heeft geaccepteerd en zich daardoor heeft verbonden deze op de vervaldag te betalen	accepteerder van wissel	iemand die zich bereid verklaart een wissel te accepteren	0.8123597502708435	0.7435518503189087	0.7764344215393066	0.5112165212631226	0.7039555311203003	0.886398434638977
acceptant	substantief	2.0	2511	2513	iemand die voor zijn beroep bij een verzekeringsmaatschappij de aanvragen voor verzekeringen behandelt	verzekeringsmedewerker	iemand die zich voor zijn beroep bezighoudt met verzekeringszaken	0.8150963187217712	0.7964387536048889	0.8056595325469971	0.7342418432235718	0.6248827576637268	0.7993015646934509
acceptant	substantief	3.0	2511	2514	bedrijf dat betaling met een bepaalde betaalkaart accepteert	aannemer van betaalkaart	aannemer die zich bezighoudt met het accepteren van betaalkaarten	0.780068039894104	0.8190762996673584	0.799096405506134	0.7885934114456177	0.635856568813324	0.8231955766677856
acces	substantief	1.0	2529	2530	plaats die door haar hogere ligging aan legereenheden een doorgang biedt in onder water gezet gebied	doorgang	doorgang in een gebouw of in de buitenlucht	0.6825997829437256	0.6449729204177856	0.663253128528595	0.4458756744861603	0.5528671741485596	0.23739838600158691
accordeonfile	substantief	1.0	340340	340341	file die bestaat uit delen waar de automobilisten stilstaan en delen waar zij ineens weer een stuk kunnen doorrijden	file die in en uit elkaar schuift	file die in en uit elkaar schuift, zoals een accordeon	0.6763389110565186	0.6837594509124756	0.6800289154052734	0.338386207818985	0.5272251963615417	0.519385576248169
achter de geraniums zitten	verbinding	1.0	914356	916989	een weinig actief leven leiden	thuis zitten	niet naar buiten gaan	0.7231971025466919	0.723711371421814	0.7234541177749634	0.43283718824386597	0.44753924012184143	0.6279531717300415
achtergronddanser	substantief	1.0	265398	265399	danser die uit liefhebberij of als beroep op de achtergrond danst bij het optreden van een artiest	danser op de achtergrond	danser die op de achtergrond optreedt	0.8451986312866211	0.7340518236160278	0.7857140302658081	0.5337998867034912	0.7550443410873413	0.8836712837219238
actief faalangstige	verbinding	1.0	903284	903287	iemand die zich extra, soms zelfs te veel, inspant om goede resultaten te halen omdat hij denkt dat dit anders niet zal lukken	iemand met positieve faalangst	iemand die faalangst heeft, maar die deze ook als iets positiefs ervaart	0.7083977460861206	0.6746311187744141	0.6911022067070007	0.515288770198822	0.6862422823905945	0.6238367557525635
actiegericht	adjectief	1.0	3209	3210	afgestemd op, aanzettend tot het ondernemen van actie	gericht op actie	afgestemd op actie	0.8568662405014038	0.7487160563468933	0.7991487383842468	0.7433130145072937	0.5465649366378784	0.9000340700149536
actieveling	substantief	1.0	3229	645337	iemand die actief is op enig gebied, bijvoorbeeld in het verenigingsleven, in het vrijwilligerswerk e.d.	iemand die actief is	iemand die actief bezig is met iets	0.8150802850723267	0.6487818956375122	0.7224851250648499	0.6735660433769226	0.7041732668876648	0.8233168125152588
actieveling	substantief	2.0	3229	3230	iemand die voordurend in de weer is	iemand die buitengewoon actief is	iemand die buitengewoon actief is, vooral op het gebied van sport	0.7363559007644653	0.7748686075210571	0.7551214694976807	0.7279041409492493	0.7252312898635864	0.9523234367370605
acuut	adjectief	1.0	3320	3321	plotseling optredend, vaak met hevige verschijnselen, maar van tijdelijke aard	niet chronisch	in medisch opzicht: niet chronisch	0.6528201103210449	0.6278113126754761	0.6400715112686157	0.48264917731285095	0.6285914182662964	0.3353354036808014
acuut	adjectief	3.0	3320	3322	plotseling in verscherpte vorm optredend en onmiddellijk ingrijpen vereisend	plotseling optredend	plotseling optredend of zich snel ontwikkelend	0.8222658634185791	0.748619556427002	0.7837163209915161	0.6803719997406006	0.6102325320243835	0.7225874066352844
acuut	adjectief	2.1	3320	572728	voor patiënten met een spoedeisende aandoening	voor spoedeisende aandoeningen	waarbij spoedeisende hulp nodig is	0.7789808511734009	0.7182461023330688	0.7473816275596619	0.6885864734649658	0.6173058152198792	0.8608038425445557
ad absurdum	adjectief	1.0	362995	362999	op een zodanige wijze dat het absurd geworden is, dat het absurde, belachelijke gevolgen heeft	tot in het absurde	(Latijn, letterlijk 'tot in het absurde') tot in het absurde	0.6605715155601501	0.6599037647247314	0.6602374315261841	0.4629964530467987	0.6356599926948547	0.7196707725524902
ad limina apostolorum	substantief	1.1	363305	363326	bezoek aan Rome dat eens in de vijf jaren door de bisschoppen afgelegd moet worden om aan de paus verslag te doen van hetgeen zich in hun bisdom en in de kerkprovincie heeft afgespeeld (en om de graven van de apostelen Paulus en Petrus te bezoeken)	verplicht bezoek van bisschoppen aan Rome	(Latijn, letterlijk 'naar de grenzen van de apostelen') jaarlijks verplicht bezoek van bisschoppen aan Rome om de paus te ontmoeten en hem verslag te doen van de toestand in hun bisdom	0.734454333782196	0.7266584038734436	0.7305355668067932	0.7298030853271484	0.7880851030349731	0.4019806683063507
ADD'er	substantief	1.0	230514	230519	iemand die aan de aandachtsstoornis ADD (Attention Deficit Disorder) lijdt, wat zich kenmerkt door aandachts- en concentratieproblemen en die daardoor langzaam en traag maar vaak juist wel zeer intelligent is	iemand met ADD	iemand met een aandachtstekortstoornis met hyperactiviteit (ADD)	0.7613083124160767	0.6390608549118042	0.6948487162590027	0.6018305420875549	0.7478938698768616	0.812718391418457
addison	substantief	1.0	490876	492855	ernstige, maar zeldzame ziekte die veroorzaakt wordt door een verminderde functie van de bijnierschors, waardoor een tekort ontstaat aan de hormonen aldosteron en cortisol, met als meest kenmerkende symptoom een oranje of bruine verkleuring van de huid	ziekte van Addison	ziekte waarbij de bijnieren niet of niet voldoende hormonen aanmaken, waardoor onder andere de bloedsuikerspiegel en bloeddruk dalen en de spieren en zenuwen beschadigd raken	0.6868754625320435	0.6766331195831299	0.6817158460617065	0.6199113726615906	0.762631356716156	0.2858765423297882
ademhalingsmoeilijkheden	substantief	1.0	445382	610675	moeilijkheden die persoon of dier ondervindt bij het ademhalen	moeilijkheden bij het ademhalen	moeilijkheden bij het ademhalen, bijvoorbeeld door een ademhalingsprobleem of een ademhalingsziekte	0.7306911945343018	0.7742601633071899	0.7518449425697327	0.6896827816963196	0.6597608923912048	0.9285869598388672
ader	substantief	1.0	3442	3443	bloedvat bloedvat waardoor bloed vanuit de weefsels in de richting van een van de hartboezems stroomt	bloedvat bloedvat richting hart ader als baan voor gevoelens	bloedvat bloedvat dat bloed van het hart naar de rest van het lichaam transporteert	0.86036616563797	0.8033874034881592	0.8309011459350586	0.7372340559959412	0.44118520617485046	0.5556432604789734
ader	substantief	2.0	3442	560565	nauwe doorgang in de aardkorst waaruit water opwelt	nauwe doorgang in de aardkorst	nauwe doorgang in de aardkorst, gevormd door de beweging van tektonische platen	0.8096715211868286	0.8373888731002808	0.8232969641685486	0.7387484312057495	0.5626099109649658	0.9158189296722412
ader	substantief	3.0	3442	560567	lange, smalle laag in de aardkorst die een delfstof bevat	smalle laag in de aardkorst	smalle laag in de aardkorst met een hoge concentratie aan mineralen	0.8306575417518616	0.8492046594619751	0.8398286700248718	0.858432948589325	0.6216421723365784	0.8715759515762329
ader	substantief	4.0	3442	560568	belangrijke verbinding of weg in een landschap	verbinding of weg	verbinding of weg tussen twee punten	0.8370461463928223	0.8153883814811707	0.8260753154754639	0.5990240573883057	0.6717855930328369	0.9381998777389526
ader	substantief	5.0	3442	560569	dunne, kronkelende streep in hout, steen enz.	dunne, kronkelende streep	dunne, kronkelende streep of lijn	0.8756526112556458	0.7794878482818604	0.8247766494750977	0.6437851786613464	0.6368327140808105	0.8677586913108826
ader	substantief	6.0	3442	560570	met een isolerende stof omgeven draad in een kabel	draad in een kabel	draad die samen met andere draden een kabel vormt	0.7500145435333252	0.7291686534881592	0.7394447326660156	0.6522893309593201	0.5374838709831238	0.932502031326294
ader	substantief	7.0	3442	560571	fijnere vertakking van de bladnerven	bladader	ader die bloed van de bladeren van een plant naar de rest van de plant transporteert	0.7111659646034241	0.687324583530426	0.699042022228241	0.5622196793556213	0.6072830557823181	0.4676873981952667
ader	substantief	8.0	3442	560572	vertakking van het chitinegeraamte in insectenvleugels	vertakking van het chitinegeraamte	vertakking van het chitinegeraamte in een plant of dier	0.8870989084243774	0.8669280409812927	0.8768975138664246	0.7330246567726135	0.45265063643455505	0.8688165545463562
ader	substantief	1.1	3442	560271	bloedvat waardoor bloed vanuit de weefsels in de richting van een van de hartboezems stroomt	bloedvat richting hart	bloedvat dat bloed van de longen naar het hart transporteert	0.866705060005188	0.797364354133606	0.830590009689331	0.7660637497901917	0.7160757780075073	0.9032289981842041
ader	substantief	1.2	3442	560573	ader beschouwd als baan voor gevoelens en aandoeningen	ader als baan voor gevoelens	ader als baan voor gevoelens of emoties	0.922828733921051	0.9032933712005615	0.9129565954208374	0.7064223885536194	0.5103778839111328	0.895349383354187
adhesie	substantief	1.0	3450	3451	aantrekkingskracht tussen moleculen van verschillende stoffen, bv. van een vloeistof en een vaste stof, of tussen oppervlakken van verschillende zaken	aantrekkingskracht tussen moleculen	chemische aantrekkingskracht tussen moleculen	0.8805272579193115	0.7225841879844666	0.793775200843811	0.6044328808784485	0.6239159107208252	0.8637544512748718
adhesie	substantief	2.0	3450	3452	vergroeiing of verkleving van of in organen of andere lichaamsdelen	orgaanvergroeiing	vergroeiing van organen of weefsels door hechtingsweefsel	0.7889554500579834	0.8129113912582397	0.8007543087005615	0.6623745560646057	0.6996539831161499	0.8053156733512878
ad-hocbeleid	substantief	1.0	364634	364635	beleid dat niet gestoeld is op vastgestelde regels, plannen en doelstellingen, maar dat gekenmerkt wordt door het nemen van incidentele, voor een bijzonder geval geldende beslissingen of maatregelen	incidenteel beleid	beleid dat wordt uitgevaardigd voor een specifieke, incidentele aangelegenheid	0.7571920156478882	0.7076717615127563	0.7315949201583862	0.7007572054862976	0.6863951086997986	0.8964389562606812
ad-hocbeslissing	substantief	1.0	366929	366936	beslissing die ter plekke, onmiddellijk, zonder gepland te zijn genomen wordt voor een speciale gelegenheid of in een speciaal geval, maar niet structureel van aard is	gelegenheidsbeslissing	beslissing die ter plekke genomen wordt	0.8870292901992798	0.6737630367279053	0.7658258676528931	0.46409717202186584	0.6275450587272644	0.7769712209701538
