Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	paling aal als voedsel: een vissoort, Paling (Anguilla anguilla), die vaak wordt gevangen en gegeten, bekend om zijn zachte vlees en traditionele bereidingswijzen zoals roken of stoven.	paling aal als voedsel: een vissoort, Paling (Anguilla anguilla), die vaak wordt gevangen en gegeten, bekend om zijn zachte vlees en traditionele bereidingswijzen zoals roken of stoven.	0.6207151412963867	0.6132473945617676	0.6169586777687073	0.3749344050884247	0.5292415022850037	0.2707122564315796
aal	substantief	B.1.0	550	554	katholieke geestelijke die verbonden is aan een legerafdeling en die belast is met pastoraal werk en begeleiding en ondersteuning van militairen	aalmoezenier	Aalmoezenier: een persoon die zich bezighoudt met het verstrekken van aalmoezen (kleine giften) aan behoeftigen, vaak in de context van liefdadigheid of filantropie.	Aalmoezenier: een persoon die zich bezighoudt met het verstrekken van aalmoezen (kleine giften) aan behoeftigen, vaak in de context van liefdadigheid of filantropie.	0.6452956199645996	0.6902470588684082	0.6670148372650146	0.5077080130577087	0.7974715232849121	0.29907065629959106
aal	substantief	C.1.0	550	485623	vloeibare mest	mestvocht	"Korte definitie: aal als voedsel
Lange definitie: aal als voedsel, vaak gebruikt in de visserij en aquacultuur, kan verwijzen naar verschillende soorten zoetwatervissen die commercieel worden gevangen of gekweekt voor menselijke consumptie. De term 'aal' kan specifiek verwijzen naar bepaalde soorten zoetwatervissen zoals de Europese aal (Anguilla anguilla) of de Amerikaanse aal (Alosa pseudoharengus), die bekend staan om hun eetbare vlees."	aal als voedsel, vaak gebruikt in de visserij en aquacultuur, kan verwijzen naar verschillende soorten zoetwatervissen die commercieel worden gevangen of gekweekt voor menselijke consumptie. De term 'aal' kan specifiek verwijzen naar bepaalde soorten zoetwatervissen zoals de Europese aal (Anguilla anguilla) of de Amerikaanse aal (Alosa pseudoharengus), die bekend staan om hun eetbare vlees.	0.5286577343940735	0.6485444903373718	0.5824964046478271	0.4363923966884613	0.5215640068054199	0.23001712560653687
aal	substantief	A.1.1	550	555	door de mens als voedsel geconsumeerde aal	aal als voedsel	Aal als voedsel: kleine, glibberige vissoort die vaak in zoet water wordt gevangen en gegeten als onderdeel van de visgerechten in verschillende culturen.	Aal als voedsel: kleine, glibberige vissoort die vaak in zoet water wordt gevangen en gegeten als onderdeel van de visgerechten in verschillende culturen.	0.6680974364280701	0.7224761247634888	0.6942235231399536	0.6471031904220581	0.7431803941726685	0.9027302265167236
aalglad	adjectief	1.0	558	229438	kaal met zeer weinig weerstand, waardoor je kunt uitglijden	zonder enige hobbel of rimpel erg glibberig	aalglad: zonder enige hobbel of rimpel erg glibberig, waarbij het oppervlak zo glad is dat het bijna onmogelijk is om er grip op te krijgen of eroverheen te bewegen zonder uit te glijden.	aalglad: zonder enige hobbel of rimpel erg glibberig, waarbij het oppervlak zo glad is dat het bijna onmogelijk is om er grip op te krijgen of eroverheen te bewegen zonder uit te glijden.	0.6535036563873291	0.7240637540817261	0.6869766116142273	0.6316320300102234	0.6384639739990234	0.7912719249725342
aalglad	adjectief	2.0	558	559	niet te verslaan	supersnel	"Aalglad: (bijvoeglijk naamwoord; bijwoord: aalglad; zelfstandig naamwoord: aalgladheid)

Korte definitie: uiterst glad

Lange definitie: met een oppervlakte die zo glad is dat er geen enkele oneffenheid of ruwheid waarneembaar is, wat resulteert in een uiterst soepele en efficiënte beweging zonder weerstand of wrijving."	met een oppervlakte die zo glad is dat er geen enkele oneffenheid of ruwheid waarneembaar is, wat resulteert in een uiterst soepele en efficiënte beweging zonder weerstand of wrijving.	0.5614242553710938	0.6272373199462891	0.592508852481842	0.43793877959251404	0.610798180103302	0.7815767526626587
aalglad	adjectief	3.0	558	229439	communicatief zeer sterk	niet te vangen	"Aalglad: (bijvoeglijk naamwoord; bijwoord: aalglad; zelfstandig naamwoord: aalgladheid)

Korte definitie: ongrijpbaar, moeilijk te bereiken of te beïnvloeden.

Lange definitie: aalglad verwijst naar situaties of objecten die door hun gladheid of complexiteit moeilijk toegankelijk of te beïnvloeden zijn, vergelijkbaar met een gladde aal die snel en onvoorspelbaar beweegt en daardoor moeilijk te vangen is. Dit kan zowel figuurlijk als letterlijk gebruikt worden, afhankelijk van de context."	aalglad verwijst naar situaties of objecten die door hun gladheid of complexiteit moeilijk toegankelijk of te beïnvloeden zijn, vergelijkbaar met een gladde aal die snel en onvoorspelbaar beweegt en daardoor moeilijk te vangen is. Dit kan zowel figuurlijk als letterlijk gebruikt worden, afhankelijk van de context.	0.5209477543830872	0.6434998512268066	0.5757748484611511	0.4538629949092865	0.5246140956878662	0.3773941099643707
aalglad	adjectief	4.0	558	229448	goed in elkaar zittend	(te) gelikt	aalglad: (te) glad en zonder oneffenheden of onregelmatigheden, waardoor het oppervlak gemakkelijk te betreden of te gebruiken is zonder risico op uitglijden of struikelen.	aalglad: (te) glad en zonder oneffenheden of onregelmatigheden, waardoor het oppervlak gemakkelijk te betreden of te gebruiken is zonder risico op uitglijden of struikelen.	0.5603489279747009	0.6448718905448914	0.5996465682983398	0.4030480980873108	0.6130625009536743	0.5939586162567139
aalglad	adjectief	1.1	558	232192	met zeer weinig weerstand, waardoor je kunt uitglijden	erg glibberig	"aalglad: (bijvoeglijk naamwoord; bijwoord: alaalglad; zelfstandig naamwoord: alaalgladheid)

Erg glibberig: (bijvoeglijk naamwoord; bijwoord: alaalglad; zelfstandig naamwoord: alaalgladheid)
Het wegdek is alaalglad, wat betekent dat het erg glad is door bijvoorbeeld ijzel of olie op de weg, waardoor het risico op uitglijden aanzienlijk toeneemt."	"aalglad: (bijvoeglijk naamwoord; bijwoord: alaalglad; zelfstandig naamwoord: alaalgladheid)

Erg glibberig: (bijvoeglijk naamwoord; bijwoord: alaalglad; zelfstandig naamwoord: alaalgladheid)
Het wegdek is alaalglad, wat betekent dat het erg glad is door bijvoorbeeld ijzel of olie op de weg, waardoor het risico op uitglijden aanzienlijk toeneemt."	0.552419126033783	0.7032896280288696	0.6187910437583923	0.418949693441391	0.5644143223762512	0.3648730516433716
Aalstenaar	substantief	1.0	576	577	inwoner van de stad Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand uit Aalst lid e.d. van een club uit Aalst	Aalstenaar: iemand uit Aalst die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst.	Aalstenaar: iemand uit Aalst die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst.	0.8920336961746216	0.874907374382019	0.883387565612793	0.9030670523643494	0.8033041954040527	0.9629994630813599
Aalstenaar	substantief	1.1	576	530830	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	lid e.d. van een club uit Aalst	Aalstenaar: lid e.d. van een sportclub, vereniging of andere groep uit Aalst, een stad in de Belgische provincie Oost-Vlaanderen.	Aalstenaar: lid e.d. van een sportclub, vereniging of andere groep uit Aalst, een stad in de Belgische provincie Oost-Vlaanderen.	0.7401300668716431	0.80155348777771	0.7696182131767273	0.8015086650848389	0.7915598750114441	0.8935408592224121
aanbiddingszanger	substantief	1.0	493255	493257	zanger die religieuze, meestal christelijke, liederen zingt	zanger van religieuze liederen	Een aanbiddingszanger is iemand die uit hoofde van zijn of haar functie religieuze liederen ten gehore brengt tijdens kerkdiensten of andere religieuze bijeenkomsten, waarbij de nadruk ligt op het uitdrukken van aanbidding en devotie door middel van zang.	Een aanbiddingszanger is iemand die uit hoofde van zijn of haar functie religieuze liederen ten gehore brengt tijdens kerkdiensten of andere religieuze bijeenkomsten, waarbij de nadruk ligt op het uitdrukken van aanbidding en devotie door middel van zang.	0.6195117235183716	0.7446463704109192	0.6763396859169006	0.7438104748725891	0.8074142932891846	0.9330679178237915
aanblijfpremie	substantief	1.0	232086	232087	premie die uitgeloofd wordt als iemand aanblijft in een bepaalde functie, meestal een belangrijke functie	premie voor een functionaris die aanblijft	Aanblijfpremie: een financiële beloning die toegekend wordt aan een functionaris die besluit langer in dienst te blijven dan oorspronkelijk overeengekomen, als erkenning voor de continuïteit en stabiliteit van diens werkzaamheden binnen een organisatie of bedrijf.	Aanblijfpremie: een financiële beloning die toegekend wordt aan een functionaris die besluit langer in dienst te blijven dan oorspronkelijk overeengekomen, als erkenning voor de continuïteit en stabiliteit van diens werkzaamheden binnen een organisatie of bedrijf.	0.6587072014808655	0.7087125778198242	0.6827955842018127	0.846610963344574	0.850693941116333	0.955310583114624
aandachtsboog	substantief	1.0	232103	232107	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	"De ""aandachtsboog"" is een term die verwijst naar de periode waarin een persoon in staat is om zijn of haar aandacht te richten op een specifieke activiteit of informatie zonder afgeleid te raken. Dit kan variëren van enkele minuten tot enkele uren, afhankelijk van factoren zoals de interesse van de persoon, de complexiteit van de taak, en externe afleidingen. De aandachtsboog wordt vaak gebruikt om te beschrijven hoe lang iemand betrokken kan blijven bij een bepaalde activiteit zonder dat de concentratie afneemt."	"De ""aandachtsboog"" is een term die verwijst naar de periode waarin een persoon in staat is om zijn of haar aandacht te richten op een specifieke activiteit of informatie zonder afgeleid te raken. Dit kan variëren van enkele minuten tot enkele uren, afhankelijk van factoren zoals de interesse van de persoon, de complexiteit van de taak, en externe afleidingen. De aandachtsboog wordt vaak gebruikt om te beschrijven hoe lang iemand betrokken kan blijven bij een bepaalde activiteit zonder dat de concentratie afneemt."	0.6180494427680969	0.6805902719497681	0.6478139162063599	0.7541295886039734	0.7796516418457031	0.9141941070556641
aandachtseconomie	substantief	1.0	945237	949219	economie of samenleving waarin het trekken en behouden van aandacht van consumenten of mensen in het algemeen centraal staat	economie gericht op aandacht	Economie gericht op aandacht, vaak aangeduid als de aandachtseconomie, is een vorm van economische activiteit waarbij de waarde van producten en diensten niet alleen wordt bepaald door de fysieke goederen of diensten zelf, maar ook door de mate waarin ze de aandacht van consumenten trekken en vasthouden. Dit omvat aspecten zoals merkbeleving, storytelling, en het creëren van memorabele ervaringen die consumenten aanzetten tot interactie en het delen van ervaringen, wat kan leiden tot mond-tot-mondreclame en verhoogde merkloyaliteit.	Economie gericht op aandacht, vaak aangeduid als de aandachtseconomie, is een vorm van economische activiteit waarbij de waarde van producten en diensten niet alleen wordt bepaald door de fysieke goederen of diensten zelf, maar ook door de mate waarin ze de aandacht van consumenten trekken en vasthouden. Dit omvat aspecten zoals merkbeleving, storytelling, en het creëren van memorabele ervaringen die consumenten aanzetten tot interactie en het delen van ervaringen, wat kan leiden tot mond-tot-mondreclame en verhoogde merkloyaliteit.	0.6399362087249756	0.7219114899635315	0.6784566640853882	0.71604984998703	0.8127211332321167	0.8936170339584351
aandachtsspanne	substantief	1.0	826702	877155	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	"De ""aandachtsspanne"" is een term die verwijst naar de periode waarbinnen een persoon in staat is om zijn of haar aandacht volledig te richten op een specifieke taak of activiteit zonder afgeleid te worden door externe prikkels of interne afleidingen. Dit kan variëren van enkele minuten tot enkele uren, afhankelijk van verschillende factoren zoals de interesse van de persoon, de complexiteit van de taak, de omgeving waarin de taak wordt uitgevoerd, en persoonlijke eigenschappen zoals concentratievermogen en motivatie. De aandachtsspanne kan ook beïnvloed worden door factoren zoals vermoeidheid, stressniveaus, en de aanwezigheid van externe stimuli."	"De ""aandachtsspanne"" is een term die verwijst naar de periode waarbinnen een persoon in staat is om zijn of haar aandacht volledig te richten op een specifieke taak of activiteit zonder afgeleid te worden door externe prikkels of interne afleidingen. Dit kan variëren van enkele minuten tot enkele uren, afhankelijk van verschillende factoren zoals de interesse van de persoon, de complexiteit van de taak, de omgeving waarin de taak wordt uitgevoerd, en persoonlijke eigenschappen zoals concentratievermogen en motivatie. De aandachtsspanne kan ook beïnvloed worden door factoren zoals vermoeidheid, stressniveaus, en de aanwezigheid van externe stimuli."	0.601625919342041	0.6703007221221924	0.6341093182563782	0.7495409846305847	0.7852133512496948	0.8681868314743042
aandeelhouderswaarde	substantief	1.0	769	770	waarde die een onderneming of een bedrijf vertegenwoordigt in de ogen van mogelijke investeerders en die vooral wordt beïnvloed door de omvang en de winstgevendheid van die onderneming of dat bedrijf	waarde van een onderneming	Aandeelhouderswaarde, ook wel aandelenwaarde genoemd, is de financiële waarde die een onderneming vertegenwoordigt vanuit het perspectief van de aandeelhouders. Dit omvat zowel de huidige marktwaarde van de uitgegeven aandelen als de potentiële toekomstige waarde van het bedrijf, zoals weerspiegeld in de verwachte winstgevendheid en groeipotentieel. Deze waarde wordt beïnvloed door verschillende factoren, waaronder de financiële prestaties van het bedrijf, de marktpositie, toekomstige investeringen, en de algemene economische omstandigheden.	Aandeelhouderswaarde, ook wel aandelenwaarde genoemd, is de financiële waarde die een onderneming vertegenwoordigt vanuit het perspectief van de aandeelhouders. Dit omvat zowel de huidige marktwaarde van de uitgegeven aandelen als de potentiële toekomstige waarde van het bedrijf, zoals weerspiegeld in de verwachte winstgevendheid en groeipotentieel. Deze waarde wordt beïnvloed door verschillende factoren, waaronder de financiële prestaties van het bedrijf, de marktpositie, toekomstige investeringen, en de algemene economische omstandigheden.	0.6921466588973999	0.7732980847358704	0.7304754257202148	0.7818508744239807	0.7669402956962585	0.8458178043365479
aandelenleaseproduct	substantief	1.0	235704	235706	financieel product waarbij er belegd wordt met aandelen die gekocht zijn met geleend geld	beleggingsproduct gekocht met geleend geld	Aandelenleaseproduct, ook wel bekend als een beleggingsproduct gekocht met geleend geld, is een financieel product waarbij een individu aandelen koopt met geld dat geleend is van een financiële instelling. Dit betekent dat de aankoop van de aandelen wordt gefinancierd door middel van een lening, waarbij de lener periodiek rente moet betalen over de geleende som. Het doel van een aandelenleaseproduct is vaak om door de waardestijging van de aandelen in de toekomst de lening af te lossen en winst te maken, maar het brengt ook risico's met zich mee omdat de waarde van de aandelen kan dalen, waardoor de lening mogelijk niet volledig afbetaald kan worden.	Aandelenleaseproduct, ook wel bekend als een beleggingsproduct gekocht met geleend geld, is een financieel product waarbij een individu aandelen koopt met geld dat geleend is van een financiële instelling. Dit betekent dat de aankoop van de aandelen wordt gefinancierd door middel van een lening, waarbij de lener periodiek rente moet betalen over de geleende som. Het doel van een aandelenleaseproduct is vaak om door de waardestijging van de aandelen in de toekomst de lening af te lossen en winst te maken, maar het brengt ook risico's met zich mee omdat de waarde van de aandelen kan dalen, waardoor de lening mogelijk niet volledig afbetaald kan worden.	0.6433902978897095	0.7813009023666382	0.7056707143783569	0.7901514172554016	0.7842900156974792	0.5660194158554077
aankomstdatum	substantief	1.0	1058	1059	datum waarop iemand (of een groep van personen) of iets geacht wordt of werd aan te komen	datum waarop iemand of iets aankomt	"Korte definitie: datum waarop iemand of iets aankomt
Lange definitie: datum waarop iemand of iets geacht wordt of werd te arriveren of aangekomen te zijn op een bepaalde bestemming of locatie."	datum waarop iemand of iets geacht wordt of werd te arriveren of aangekomen te zijn op een bepaalde bestemming of locatie.	0.8111189603805542	0.8501698970794678	0.8301854133605957	0.8298456072807312	0.7555434703826904	0.9210503101348877
aankoopfraude	substantief	1.0	529059	529060	vorm van fraude die gepleegd wordt bij de aankoop van goederen of diensten, waarbij deze meestal niet geleverd worden, terwijl de klant er wel voor betaald heeft	fraude bij aankopen	aankoopfraude: frauduleuze handelingen die plaatsvinden tijdens het aankoopproces van goederen of diensten, waarbij bijvoorbeeld valse identiteiten worden gebruikt, betalingen worden gedaan met gestolen of vervalste betaalmiddelen, of waarbij goederen worden besteld zonder de intentie om te betalen. Dit kan leiden tot financiële verliezen voor zowel de verkoper als de consument.	aankoopfraude: frauduleuze handelingen die plaatsvinden tijdens het aankoopproces van goederen of diensten, waarbij bijvoorbeeld valse identiteiten worden gebruikt, betalingen worden gedaan met gestolen of vervalste betaalmiddelen, of waarbij goederen worden besteld zonder de intentie om te betalen. Dit kan leiden tot financiële verliezen voor zowel de verkoper als de consument.	0.7355976700782776	0.7917207479476929	0.7626280188560486	0.7952427864074707	0.8236400485038757	0.7476242780685425
aanmaningsbrief	substantief	1.0	519713	519714	brief waarin de ontvanger aangemaand wordt iets te doen, bijvoorbeeld een openstaande rekening te betalen, een besteld product te leveren, een belofte na te komen e.d.	brief met een aanmaning	Breid de volgende korte definitie voor het woord 'aanmaningsbrief' uit tot een volledige definitie: 'brief waarin een persoon of bedrijf formeel wordt verzocht om binnen een bepaalde termijn te voldoen aan een betalingsverplichting of een andere contractuele verplichting, vaak na een eerdere herinnering of waarschuwing.'	Breid de volgende korte definitie voor het woord 'aanmaningsbrief' uit tot een volledige definitie: 'brief waarin een persoon of bedrijf formeel wordt verzocht om binnen een bepaalde termijn te voldoen aan een betalingsverplichting of een andere contractuele verplichting, vaak na een eerdere herinnering of waarschuwing.'	0.6508195996284485	0.6963783502578735	0.6728286147117615	0.7051700949668884	0.8041911125183105	0.77888023853302
aanpassingsmoeilijkheden	substantief	1.0	482915	610656	moeilijkheden die zich voordoen als iemand zich probeert aan te passen aan veranderde omstandigheden	moeilijkheden bij het zich aanpassen	Aanpassingsmoeilijkheden: de uitdagingen die individuen of gemeenschappen ondervinden bij het aanpassen aan veranderende omstandigheden of nieuwe situaties, vaak gepaard gaand met onzekerheid en de noodzaak om flexibel en veerkrachtig te handelen.	Aanpassingsmoeilijkheden: de uitdagingen die individuen of gemeenschappen ondervinden bij het aanpassen aan veranderende omstandigheden of nieuwe situaties, vaak gepaard gaand met onzekerheid en de noodzaak om flexibel en veerkrachtig te handelen.	0.6700402498245239	0.7536174058914185	0.7093755602836609	0.7562366127967834	0.7923392057418823	0.9302036166191101
aanschietende zee	verbinding	1.0	900294	900295	in nautische of weerkundige zin ook specifieker ter aanduiding van de golfslag bij een windkracht van 6 beaufort en golven van 2,5 tot 4 meter	matige golving van het zeeoppervlak	"Korte definitie: matige golving van het zeeoppervlak

Lange definitie: een matige golving van het zeeoppervlak waarbij de golven een gemiddelde hoogte hebben van ongeveer 0,5 tot 1,5 meter en waarbij de golven regelmatig komen en gaan, wat resulteert in een gestage, maar niet overweldigende beweging van het wateroppervlak."	een matige golving van het zeeoppervlak waarbij de golven een gemiddelde hoogte hebben van ongeveer 0,5 tot 1,5 meter en waarbij de golven regelmatig komen en gaan, wat resulteert in een gestage, maar niet overweldigende beweging van het wateroppervlak.	0.6846910715103149	0.6865465641021729	0.6856175661087036	0.6384324431419373	0.7813302874565125	0.4018317461013794
aantr.	adjectief	1.0	1590	1591	ook wel: aantrekkelijk	aantrekkelijk(e)	"aantr.: (bijvoeglijk naamwoord; bijwoord: aanlokkelijk; zelfstandig naamwoord: aantrekkelijkheid)

Korte definitie: aantrekkelijk(e)

Lange definitie: iets of iemand die door zijn of haar uiterlijk, persoonlijkheid, vaardigheden of eigenschappen de aandacht trekt of aantrekkelijk wordt gevonden door anderen."	iets of iemand die door zijn of haar uiterlijk, persoonlijkheid, vaardigheden of eigenschappen de aandacht trekt of aantrekkelijk wordt gevonden door anderen.	0.5706369876861572	0.7055150270462036	0.6309483051300049	0.495956152677536	0.7256780862808228	0.939582109451294
aanwezig	adjectief	1.0	1760	1761	zich ergens bevindend voor gebruik beschikbaar op een bepaalde plaats	zich ergens bevindend beschikbaar opvallend of overheersend	Aanwezig: zich ergens bevindend beschikbaar opvallend of overheersend, vaak gebruikt om aan te geven dat iemand of iets duidelijk aanwezig of prominent aanwezig is in een bepaalde situatie of omgeving.	Aanwezig: zich ergens bevindend beschikbaar opvallend of overheersend, vaak gebruikt om aan te geven dat iemand of iets duidelijk aanwezig of prominent aanwezig is in een bepaalde situatie of omgeving.	0.649518609046936	0.7876206636428833	0.7119341492652893	0.6165167093276978	0.6709276437759399	0.7651739120483398
