Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
mobiel	adjectief substantief	A.4.0	100449	649959	met een draagbare telefoon; met betrekking tot draagbare telefoons of telefonie; met betrekking tot mobiele telefonie; mobiele telefonie betreffend telefoon waarmee mobiel en draadloos gebeld kan worden, met behulp van een netwerk van antennes; snoerloze, draagbare telefoon; gsm	met een draagbare telefoon draagbare telefoon
piano	bijwoord substantief	3.0	121131	496625	met een geringe geluidssterkte, zacht, als aanduiding in een partituur voor de uitvoeringswijze van een muziekwerk passage in een muziekstuk die zacht gespeeld wordt of dient te worden	op zachte toon zachte passage
piqué	substantief adjectief	1.0	121800	121801	weefsel van katoen of kunstzijde met een ketting van grof garen en een ketting van fijn garen waardoor een patroon van regelmatige ruiten of andere regelmatige figuren of stippen ontstaat gemaakt van piqué	weefsel
poly	adjectief substantief	1.0	882849	882850	duurzame liefdesrelaties onderhoudend met meerdere personen tegelijk waarbij de betrokken personen dit met elkaars medeweten en toestemming doen; polyamoreus iemand die duurzame liefdesrelaties onderhoudt met meerdere personen tegelijk waarbij de betrokken personen dit met elkaars medeweten en toestemming doen; iemand die polyamoreus is	polyamoreus iemand die polyamoreus is
popiejopie	substantief adjectief	1.0	337887	337888	iemand die zich op een bepaalde manier gedraagt, soms op een ietwat platvloerse manier frivool of uitbundig, om populair te worden; iemand die zeer populair is of wil zijn populair op een platte manier	iemand die populair is of wil zijn populair op een platte manier
queer	adjectief substantief	1.0	877711	938711	zich aangetrokken voelend tot iemand van hetzelfde geslacht; vallend op iemand van hetzelfde geslacht; in seksueel opzicht gericht op iemand van hetzelfde geslacht; een homoseksuele geaardheid hebbend; met een homoseksuele geaardheid; homoseksueel homoseksuele persoon	homoseksueel homoseksuele persoon
queer	adjectief substantief	2.0	877711	938722	zich qua seksuele voorkeur of gender niet in een bepaald 'hokje' plaatsend en zich afzettend tegen de heteronorm iemand die zich qua seksuele voorkeur en gender niet in een bepaald 'hokje' wil plaatsen en zich vaak wel nadrukkelijk afzet tegen de heteronorm	zich niet vastleggend qua seksuele voorkeur iemand die zich niet vastlegt in seksuele voorkeur
retro	substantief adjectief	1.0	132041	132042	modetrend afkomstig uit het verleden of geïnspireerd op een trend uit het verleden getuigend van een retrosfeer; kenmerken van retro hebbend	modetrend uit het verleden getuigend van een retrosfeer
sedentair	adjectief substantief	2.0	139781	139783	veel of langdurig zittend iemand die veel zit	veel zittend iemand die veel zit
summa cum laude	bijwoord substantief	1.0	664150	664152	"(Latijn) met de hoogste lof, gebruikt als eervolle vermelding bij het afronden van een studie of promotie; met de grootste onderscheiding in zelfstandig gebruik: eervolle vermelding ""met de hoogste lof"" bij het afronden van een studie of promotie"	met de hoogste lof vermelding 'met de hoogste lof'
teddy	substantief adjectief	2.0	153784	193303	zachte, warme, harige textielstof die vooral wordt gebruikt als voering gemaakt van teddystof	textielstof
ultramarijn	substantief adjectief	2.0	162933	162935	de kleur van ultramarijn; helderblauwe kleur de kleur ultramarijn hebbend; helderblauw	blauwe kleur helderblauw
vermiljoen	substantief adjectief	2.0	167563	167565	de kleur van vermiljoen; helderrode kleur de kleur van vermiljoen hebbend; helderrood	helderrode kleur helderrood
wauw	tussenwerpsel adjectief	1.0	178948	178949	uitroep van verbazing, verwondering, vaak ook van bewondering of enthousiasme opwindend	uitroep van verbazing
zwemmen	werkwoord werkwoord werkwoord substantief werkwoord werkwoord werkwoord werkwoord	1.0	189991	189992	zich door bepaalde geordende lichaamsbewegingen in het water drijvend houden en voortbewegen; soms ook: zich voortbewegen in een andere vloeistof dan water een racewedstrijd in het zwemmen betwisten; racewedstrijden in het zwemmen betwisten; zwemmen in wedstrijdverband; wedstrijdzwemmen bereiken als wedstrijdresultaat in het zwemmen; presteren bij het zwemmen onderricht in het zwemmen; zwemles zich door de lucht verspreiden; door de lucht drijven vervuld zijn van iets wat in de lucht aanwezig is, een geur, een walm e.d. zich op een vage, onbestendige, onvaste, vluchtige manier ergens voordoen; op een vage, onbestendige, onvaste, vluchtige manier ergens aanwezig zijn geheel omgeven zijn door een vocht of iets wat veel vocht bevat, zodanig dat het op zwemmen lijkt; drijven in vocht, in een overvloed aan vocht	in water voortbewegen zwemraces betwisten zwemmend presteren zwemles door de lucht drijven vervuld zijn van iets vaag aanwezig zijn drijven in vocht
