Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
basisonderwijs	substantief	1.0	13216	13217	het gestructureerd aanleren van kennis, vaardigheden en attitudes op basisniveau, zoals rekenen, schrijven, algemene kennisoverdracht, sociale omgang en persoonlijke ontwikkeling, aan leerlingen in de leeftijd van vier tot twaalf jaar in Nederland en van twee en een half tot twaalf in Vlaanderen;  schoolonderricht voor leerlingen tot twaalf jaar, dat vanaf het vijfde levensjaar leerplichtig is;  concreet ook: geheel van lessen en oefeningen waardoor leerlingen in het eerste opleidingstraject tot twaalf jaar hun kennis, vaardigheden en attitudes ontwikkelen	schoolonderricht voor leerlingen tot twaalf jaar
belletje	substantief	1.0	272761	571661	klein metalen voorwerp dat ter waarschuwing een geluid voort kan brengen;  kleine bel geluid van een bel;  geluid van een kleine bel dat daarom relatief hoog klinkt; geluid dat als waarschuwingssignaal gebruikt wordt, maar door iets anders voortgebracht wordt dan door een bel;  vaak ook: geluid van de deurbel;  deurbelgeluid drukknopje waarmee een elektrisch belsignaal in werking gesteld kan worden belletje aan de halsband van een kat dat bij beweging zachtjes rinkelt, zodat prooidieren gewaarschuwd worden;  klein klokje met een dichte onderkant aan een kattenhalsband	kleine bel geluid van een belletje drukknopje belletje voor een kat
belletje	substantief	3.0	272761	574016	belletje dat voor het maken van muziek gebruikt wordt;  belletje als muziekinstrument of als onderdeel van een muziekinstrument;  vaak ook: geluid van zo'n belletje	belletje als muziekinstrument
belletje	substantief	1.1	272761	573372	geluid van een bel;  geluid van een kleine bel dat daarom relatief hoog klinkt; geluid dat als waarschuwingssignaal gebruikt wordt, maar door iets anders voortgebracht wordt dan door een bel;  vaak ook: geluid van de deurbel;  deurbelgeluid	geluid van een belletje
beslag	substantief	1.0	17602	492996	datgene waarmee iets beslagen is, hetzij ter bescherming, ter versteviging of ter versiering;  belegsel geheel van krukken, hendels, grepen en metalen plaatwerk aan deuren, ramen en meubels als onderdeel van het hang-en-sluitwerk; hang-en-sluitwerk, inclusief sloten en hengsels roestvrijmetalen delen op of aan scheepsonderdelen, die dienen om verbindingen te verstevigen of onderdelen te beschermen;  scheepsbeslag;  bij uitbreiding ook: metalen scheepsaccessoires in het algemeen hoefijzers onder de hoeven van paarden;  hoefbeslag	belegsel hang-en-sluitwerk scheepsbeslag hoefbeslag
beslag	substantief	1.2	17602	495144	roestvrijmetalen delen op of aan scheepsonderdelen, die dienen om verbindingen te verstevigen of onderdelen te beschermen;  bij uitbreiding ook: metalen scheepsaccessoires in het algemeen	scheepsbeslag
bierkelder	substantief	2.0	458968	569939	metonymisch ook: café, kroeg uitgebaat in een kelder	kelder waar men bier schenkt
blackface	substantief	1.0	877725	879303	wijze van schminken waarbij het gezicht van een wit persoon zwart geschminkt wordt;  soms ook: schmink die gebruikt wordt om een wit persoon op karikaturale wijze zwart te schminken	wijze van zwart schminken
blackface	substantief	2.0	877725	877811	gezicht van een wit persoon, vaak een acteur, dat zwart wordt geschminkt om op karikaturale wijze een zwart personage te verbeelden ook: wit persoon, vaak een acteur, die zijn gezicht zwart schminkt om op karikaturale wijze een zwart personage te verbeelden	zwart geschminkt gezicht zwart geschminkt persoon
blunderaar	substantief	1.0	394969	943948	iemand die een blunder of blunders begaat: ook: iemand die gewoon is te blunderen;  iemand die vaak blundert	iemand die blundert
blunderen	werkwoord	1.0	22381	22382	een ongelooflijk domme fout begaan;  een onvergeeflijk stomme zet doen;  een stommiteit begaan;  een dwaze vergissing maken;  een flater slaan;  enorm falen;  met een repeterend effect ook: aanhoudend blunders maken;  een hele reeks blunders begaan	een blunder begaan
bodyshaming	substantief	1.0	648257	648258	het publiekelijk bekritiseren van iemands lichaam, vooral als dat te dik of te dun beoordeeld wordt en vaak met het doel de persoon in kwestie belachelijk te maken;  algemener ook: het openlijk bekritiseren van iemands uiterlijk	het bekritiseren van iemands lichaam
Boeddhabeeld	substantief	1.0	391788	664076	beeld dat Boeddha voorstelt, de (aanduiding voor de) geestelijk leider prins Siddhartha Gautama Boeddha op wiens leer het boeddhisme teruggaat;  soms ook: beeld van een Boeddha, d.i. een meester die een volkomen spirituele verlichting heeft ondergaan	beeld van Boeddha
bohemien	substantief	1.0	23165	23166	kunstenaar of intellectueel die een onconventioneel, ongeregeld bestaan leidt, zoals in de artistieke en intellectuele kringen van Parijs in de negentiende eeuw;  ruimer ook: persoon die er een soortgelijke, bewust onburgerlijke en ongebonden levensstijl opna houdt	onconventioneel kunstenaar e.d.
bouwverbod	substantief	1.0	24835	24836	verbod op de bouw, het bouwen van iets;  verbod om in een aangegeven gebied of op een bepaald terrein een gebouw, bouwsel of gebouwcomplex op te richten;  soms ook: verbod om een bestaand gebouw of gebouwencomplex te verbouwen	verbod op het bouwen van iets
brave hendrik	substantief	1.0	443463	587328	man of jongen die uiterst braaf is;  negatiever ook: rechtschapen maar saaie, slappe, weinig ondernemende man of jongen;  al te brave, deugdzame man of jongen	zeer brave man of jongen
brood	substantief	1.0	26061	26062	voedingsmiddel dat bestaat uit gekneed, gerezen en gebakken deeg van meel met water of melk, gist en zout en dat in de regel beschouwd wordt als een basisvoedingsmiddel;  ook als verzamelnaam: wat er aan  brood  voorhanden is om te eten het  brood  dat Jezus bij het Laatste Avondmaal brak en aan zijn leerlingen gaf;  avondmaalsbrood;  vervolgens ook: het lichaam van Jezus en het woord Gods als voedsel voor de ziel, gesymboliseerd in de hostie	voedsel dat bestaat uit gebakken brooddeeg avondmaalsbrood
brood	substantief	1.1	26061	504184	het  brood  dat Jezus bij het Laatste Avondmaal brak en aan zijn leerlingen gaf;  vervolgens ook: het lichaam van Jezus en het woord Gods als voedsel voor de ziel, gesymboliseerd in de hostie	avondmaalsbrood
buurtvereniging	substantief	1.0	27713	27714	vereniging van bewoners van een bepaalde buurt die gezamenlijk opkomen voor de belangen van die buurt;  belangenvereniging van buurtbewonersook: de gezamenlijke leden van zo'n vereniging	belangenvereniging van buurtbewoners
caprice	substantief	2.0	28495	215087	voorbijgaande liefde voor iemand, ook: persoon naar wie deze tijdelijke liefde uitgaat	voorbijgaande liefde voor iemand
carrièrevrouw	substantief	1.0	28701	28702	vrouw die ervoor kiest met betaalde arbeid carrière te maken en niet alleen maar een rol vervult als echtgenote of moeder;  vaak pregnanter ook: vrouw die er alles voor over heeft met betaalde arbeid carrière te maken en daarom bijvoorbeeld geen kinderen neemt;  vrouw met een sterke ambitie om in haar loopbaan hogerop te komen;  vrouwelijke carrièremaker;  carrièremaakster	vrouw met een arbeidscarrière
chauffage	substantief	1.0	365266	610449	installatie om ruimtes zoals woningen en voertuigen mee te verwarmen;  vaak ook: centrale verwarming in woningen zichtbare deel van een verwarming waar het heet water ingepompt wordt;  radiator	verwarming radiator
Christuskind	substantief	1.0	445906	498767	Jezus Christus;  in het bijzonder ook: Jezus Christus als kind voorstelling van het Christuskind	Jezus Christus als kind voorstelling van het Christuskind
clubgebonden	adjectief	1.0	482783	512899	gebonden aan, verbonden met een bepaalde sportclub;  voortkomend uit de (hechte) band met een sportclub;  pregnanter ook: gehecht aan een bepaalde sportclub	gebonden aan een sportclub
cohortzorg	substantief	1.0	964799	964800	verpleegkundige verzorging, verpleging van een doorgaans grote groep patiënten met een besmettelijke ziekte in een gesloten afdeling van een ziekenhuis;  isolatieverpleging;  cohortverpleging;  in België tijdens de COVID-19-uitbraak in het bijzonder ook: verpleegkundige verzorging van een groep coronapatiënten in de thuissituatie of in een zorgverlenende instelling door een vast team verpleegkundigen, waarbij contact met andere personen vermeden wordt	besloten groepsverpleging
commissaris	substantief	2.0	31389	31391	iemand die voor zijn beroep het hoofd is van een politie-eenheid;  soms ook: rang van politiecommissaris (in Nederland en België boven de rang van hoofdinspecteur en onder hoofdcommissaris);  commissaris van politie	politiecommissaris
de wegen kruisen elkaar	verbinding	1.0	897627	897628	routes volgen die de bewegingsrichting van andere personen snijden, zodat men elkaar ergens tegenkomt;  in toepassingen waarin geen sprake is van een fysieke verplaatsing vervolgens ook: elkaar ontmoeten	elkaar ontmoeten
delfstofkunde	substantief	1.0	199111	199112	wetenschap die zich bezighoudt met de studie van delfstoffen;  delfstoffenleer, specifieker ook: wetenschap die zich bezighoudt met de studie van mineralen: mineralogie	studie van delfstoffen
dispersie	substantief	3.0	39600	39603	het zich verspreiden van diersoorten;  meer specifiek ook: het uitzwerven van zelfstandig geworden dieren vanaf hun geboorteplek naar een eigen leefgebied	verspreiding van dieren
districtscommissaris	substantief	2.0	478695	597894	hoofd van een district in een ander land, bijvoorbeeld Turkije;  in Nederland en België in het bijzonder ook: hoofd van een district bij de scouting (padvinderij)	hoofd van een district in een ander land
do	substantief	A.1.0	39879	39883	eerste muzieknoot van de diatonische toonladder;  concreet ook: toets op een pianoklavier waarmee deze muzieknoot ten gehore wordt gebracht;  teken op een notenbalk waarmee deze muzieknoot weergegeven wordt	muzieknoot, grondtoon
doctor	substantief	2.0	40034	661965	titel of graad van doctor, toegekend na het voltooien van een opleiding van de derde cyclus van het hoger onderwijs;  concreet ook: diploma dat deze graad bevestigt	titel of graad van doctor
doctoraat	substantief	2.0	40046	661746	titel of graad van doctor, toegekend na het voltooien van de opleiding van de derde cyclus van het hoger onderwijs;  concreet ook: diploma dat deze graad bevestigt	titel of graad van doctor
dodensprong	substantief	1.0	403040	662280	zeer gevaarlijke sprong, zoals die wordt uitgevoerd door acrobaten en in het bijzonder trapezewerkers, waarbij men veelal hoog boven de grond met het lichaam een volledige omwenteling maakt;  salto mortale;  vervolgens ook: sprong waarbij men met het lichaam een volledige omwenteling maakt, bijvoorbeeld als onderdeel van het schoonspringen of als oefening voor het basejumpen	zeer gevaarlijke sprong
domino-effect	substantief	1.0	40701	40702	effect dat optreedt als door een bepaalde gebeurtenis een niet te stoppen reeks van andere, vaak vergelijkbare gebeurtenissen plaatsvindt;  effect dat iets zich als een reeks vallende dominostenen verspreidt;  soms ook: gevolg of uitkomst van een kettingreactie	kettingreactie
dragonder	substantief	1.0	42354	42355	infanterist die zich te paard verplaatst;  vervolgens ook: licht bewapende cavalerist	licht bewapende cavalerist
drank	substantief	1.0	42408	42409	vloeistof om te drinken;  als stofnaam bijna altijd in toepassing op alcoholhoudende drank: sterke drank, bier en wijn;  soms in toepassing op niet-alcoholische drank;  als verzamelnaam ook: dranken, vooral alcoholhoudende dranken wat er gedronken is;  de drankjes	vloeistof om te drinken wat er gedronken is
droesem	substantief	2.0	43028	214486	onzuiver bezinksel, ook: uitschot	uitschot
droogteschade	substantief	1.0	445835	661757	schade die veroorzaakt wordt door extreme of aanhoudende droogte;  schade die vooral in de landbouw en in de natuur ontstaat door een langdurig gebrek aan neerslag;  in het bijzonder ook: schade die ontstaat door het onttrekken van grondwater, vooral in waterwingebieden, bijvoorbeeld voor de productie van drinkwater	schade door droogte
duplicaat	substantief	1.0	44136	44137	exacte kopie van een tekst, bericht, brief, kaart, pas, nota of document;  afschrift;  kopie dat wat als een herhaalde vorm van iets anders kan worden beschouwd;  nabootsing of imitatie van iets anders, van het origineel;  concreet ook: exacte kopie van het origineel, dat vaak dient om het origineel (tijdelijk) te vervangen;  in toepassing op personen: nauwgezette afspiegeling van iemand anders;  kloon	kopie van een tekst of document kopie van iets of iemand anders
duplicaat	substantief	1.1	44136	44138	dat wat als een herhaalde vorm van iets anders kan worden beschouwd;  nabootsing of imitatie van iets anders, van het origineel;  concreet ook: exacte kopie van het origineel, dat vaak dient om het origineel (tijdelijk) te vervangen;  in toepassing op personen: nauwgezette afspiegeling van iemand anders;  kloon	kopie van iets of iemand anders
duwer	substantief	4.0	242363	603530	iemand die iets vooruit helpt;  soms ook: organisatie of instelling die iets vooruithelpt bekend en populair persoon die laag op de kandidatenlijst van een politieke partij staat en van wie verwacht wordt dat hij of zij veel stemmen trekt;  lijstduwer	iemand die iets vooruit helpt lijstduwer
ECB	substantief	B.1.0	655347	655787	ethyleencopolymeerbitumen, kunststof die een speciaal bitumen bevat en gebruikt wordt voor dakbedekking;  vervolgens ook: daarvan vervaardigde, baanvormige dakbedekking;  dakbaan van ecb	ethyleencopolymeerbitumen
Elfstedenhotel	substantief	1.0	492866	492867	hotel in Leeuwarden of omgeving dat gewoonlijk huisvesting biedt aan de deelnemers van de Elfstedentocht;  in het bijzonder ook: tijdelijk ingerichte voorziening in stadions en sporthallen rond Leeuwarden waar Elfstedentochtrijders kunnen overnachten, bijvoorbeeld Sportstad Heerenveen en het stadion van SC Cambuur	hotel voor deelnemers aan de Elfstedentocht
falset	substantief	1.0	49917	49918	hoogste register van de menselijke stem dat een zanger bereikt wanneer de stemplooien slechts trillen aan de randen, onvolledig sluiten en dunner worden gemaakt;  kopstem stem die zingt op falsethoogte;  ruimer ook: stem die op een zeer hoge toon spreekt	kopstem
fanatiekeling	substantief	1.0	50089	50090	iemand die zeer fanatiek is;  fanatiek persoon;  in negatieve zin ook: iemand die al te fanatiek is;  iemand die bezeten is van iets	iemand die fanatiek is
fiber	substantief	1.0	50806	50807	specifieker ook: kunststof op basis van vezels van katoen of papier, die vaak wordt gebruikt als plaatmateriaal, isolatiemateriaal en voor gebruiksvoorwerpen als koffers	kunststof uit vezels
fier	adjectief	1.0	50852	50853	vervuld van een groot gevoel van eigenwaarde tot uitdrukking komend in zijn houding of in de behoefte niet toe te geven of zich niet ondergeschikt te maken;  zelfbewust;  trots;  in meer negatieve zin ook: vervuld van een gevoel dat men meer is dan anderen;  hooghartig	vervuld van eigenwaarde
fietsbellen	werkwoord	2.0	280383	869981	rijdend op een fiets bellen met een mobiele telefoon;  al rijdend op een fiets telefoneren;  ruimer ook: rijdend op de fiets gebruikmaken van de mobiele telefoon, door daarmee te telefoneren, te appen of te sms'en	rijdend op een fiets telefoneren
filmdistributeur	substantief	1.0	51246	51247	iemand die voor zijn beroep films op de markt brengt;  persoon die er voor zorgt dat een film gaat draaien in de bioscoop;  vaak ook: bedrijf met dergelijke handelsactiviteit	distributeur van films
foeteren	werkwoord	1.0	52287	52288	op een ongeduldige, mokkende, verongelijkte manier zijn ongenoegen uiten;  pregnanter ook: heftig tekeer gaan tegen iets of iemand;  vloeken en tieren tegen iets of iemand;  uitvaren tegen iets of iemand	mopperen
gas	substantief	1.0	54456	54457	stof in een aggregatietoestand waarbij de cohesiekracht tussen de samenstellende deeltjes zodanig gering is tegenover hun bewegingsenergie dat zij zich over de hele beschikbare ruimte verspreiden, in tegenstelling tot een vaste stof of vloeistof waarin zij een bepaalde vorm of volume aannemen;  stof in luchtvormige toestand;  meer specifiek ook: stof die bij gewone druk of temperatuur normaliter in genoemde toestand verkeert zonder over te gaan in vloeistof of vaste stof soort gas	stof in luchtvormige toestand soort gas
gebocheld	adjectief	1.0	54926	54927	voorzien van een bochel;  een bochel hebbend;  met een bochel alsof iemand of iets een bochel heeft;  de kenmerken vertonend van iemand met een bochel;  van personen ook: met een gekromde rug, waardoor het lijkt alsof iemand een bochel heeft;  net alsof men een bochel heeft	voorzien van een bochel alsof iemand of iets een bochel heeft
gebocheld	adjectief	1.1	54926	653479	de kenmerken vertonend van iemand met een bochel;  van personen ook: met een gekromde rug, waardoor het lijkt alsof iemand een bochel heeft;  net alsof men een bochel heeft	alsof iemand of iets een bochel heeft
gefoeter	substantief	1.0	390022	522881	het (aanhoudend) op een ongeduldige, mokkende, verongelijkte manier zijn ongenoegen uiten;   pregnanter ook: het heftig tekeer gaan tegen iets of iemand;   het vloeken en tieren tegen iets of iemand;   het uitvaren tegen iets of iemand	gemopper; getier
geitenkaas	substantief	1.0	56037	56038	als zaaknaam ook: hoeveelheid geitenkaas zoals deze als eindproduct in een bepaalde vorm op de markt wordt gebracht, vaak met een korst aan de buitenkant	kaas die gemaakt is van geitenmelk
gelaarsd en gespoord	verbinding	1.0	898817	898824	geheel voor de reis uitgerust;  reisvaardig;  vervolgens ruimer ook: geheel voorbereid	klaar voor de reis
geleidebrief	substantief	1.0	410662	518950	brief die men bij het verzenden van pakjes, goederen e.d. of het inzenden van een document e.d. meezendt om de nodige inlichtingen over het toegezondene te geven;  algemener ook: begeleidende brief waarin men iets, bijvoorbeeld een boekuitgave, nader toelicht;  begeleidend schrijven;  ook, vooral in ambtelijk taalgebruik: formulier dat ingevuld en wel bij een aanvrage meegestuurd moet worden	begeleidende brief
gevoegelijk	adjectief	1.0	643771	643886	in alle redelijkheid;  volgens de eisen der betamelijkheid;  in verzwakte opvatting ook: zonder dat het genoemde als onwaar of vreemd wordt ervaren	met recht
gevoeglijk	adjectief	1.0	58836	58837	in alle redelijkheid;  volgens de eisen der betamelijkheid;  in verzwakte opvatting ook: zonder dat het genoemde als onwaar of vreemd wordt ervaren	met recht
goklustige	substantief	1.0	198832	198857	iemand die goklust heeft;  iemand die graag gokt;  pregnanter ook: iemand die verslaafd is aan gokken;  gokverslaafde	iemand met goklust
goud	substantief	3.0	60901	632345	gouden of vergulde voorwerpen, bijvoorbeeld sieraden of serviesgoed;  bij uitbreiding ook: veel geld;  rijkdom;  schatten medaille van goud vergulde grammofoonplaat die geschonken wordt aan een artiest van wiens plaat of cd veel exemplaren verkocht zijn;  gouden plaat of album staven goud of munten van goud met een bepaalde geldwaarde;  staven van goud als beleggingsmiddel of munten van goud als betaalmiddel;  goudstaven of gouden munten	gouden of vergulde voorwerpen medaille van goud gouden plaat goudstaven of gouden munten
